autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
Kabir P. Sadarangani,35,482,13.77,108,12,21
Cristián Ramírez,9,482,53.56,276,6,9
Jaime Mena-Lorca,27,481,17.81,134,11,21
Salvador Celedón,9,480,53.33,379,7,9
Paola Poirrier,24,478,19.92,207,10,21
Reinaldo Campos‐Vargas,28,477,17.04,82,14,21
Antonella Marone,4,477,119.25,295,3,4
Cherie  K. Day,4,477,119.25,279,4,4
Patricia Luz‐Crawford,14,476,34.0,135,8,14
Julián Quintero,12,474,39.5,256,10,12
Leila R. Vale,8,473,59.12,140,7,8
Julio Plaza‐Díaz,9,470,52.22,126,8,9
Sebastián López,16,470,29.38,156,10,16
Ricardo Córdova,36,469,13.03,86,13,21
Carolina Aguirre,22,468,21.27,60,14,21
Irene Martínez,16,467,29.19,182,10,16
Md. Wali Hossain,7,465,66.43,108,7,7
Javiera Toledo-Alarcón,15,464,30.93,155,9,15
V. Strazzullo,19,464,24.42,71,12,19
Patrick Concha,15,463,30.87,49,15,15
Cristian Torres‐Díaz,18,463,24.37,77,12,19
Jeff Van Lanen,6,462,77.0,140,5,6
Hernán Cofré,31,462,14.9,118,11,21
Claudio Meneses,38,461,12.13,82,13,20
Noymar Luque‐Campos,11,460,41.82,135,7,11
Germán Buitrón,4,459,114.75,231,4,4
Lidio López,2,459,229.5,246,2,2
Iván Moreno‐Andrade,4,459,114.75,231,4,4
Frank J. Qu,17,458,26.94,125,10,17
F. R. Adler,2,458,229.0,348,2,2
N. Gupta,2,453,226.5,408,2,2
L. Pérez,15,453,30.2,204,6,15
Carlos Peña,21,453,21.57,161,11,21
Roberto Elizondo‐Vega,8,452,56.5,135,7,8
Rosanna Ginocchio,17,446,26.24,65,13,17
Rodrigo Ramírez‐Campillo,23,444,19.3,87,12,21
Franco Basso,26,443,17.04,67,12,20
D. Laroze,32,442,13.81,69,14,20
César A. Collazos,26,442,17.0,103,11,20
Fernando Salazar,27,441,16.33,70,13,20
Anita Zanella,9,441,49.0,216,7,9
Marcela Cornejo,31,440,14.19,56,13,20
Shuowen Jin,22,439,19.95,69,13,20
Lisa L. Ely,13,439,33.77,107,10,13
Stefania Amodeo,10,439,43.9,140,9,10
Marco Olivares,21,438,20.86,56,14,20
Rachel Bean,7,437,62.43,140,5,7
Isabelle Ledoux‐Rak,13,436,33.54,139,9,13
