autor,publicaciones,total_citaciones,cit_promedio,max_citaciones,h_index,g_index
Micheline Silva Santander,3,12,4.0,11,1,3
Sabrina Ribeiro Gonsalez,1,12,12.0,12,1,1
Javier Campo,2,12,6.0,8,2,2
Marjorie Montenegro,2,12,6.0,7,2,2
Andrea del Campo,1,12,12.0,12,1,1
Patricia N. Schneider,1,12,12.0,12,1,1
Patricia Moreira,2,12,6.0,10,2,2
Jordi Pereira,1,12,12.0,12,1,1
R P Rollins,1,12,12.0,12,1,1
R Miquel,1,12,12.0,12,1,1
R Chen,1,12,12.0,12,1,1
R A Gruendl,1,12,12.0,12,1,1
A. Salinas,3,12,4.0,7,2,3
Maritza Galindo,1,12,12.0,12,1,1
Mariona Vilà,1,12,12.0,12,1,1
Spencer C. H. Barrett,1,12,12.0,12,1,1
Felipe Riquelme,5,12,2.4,12,1,3
Miguel Alcalde,1,12,12.0,12,1,1
R. Chen,1,12,12.0,12,1,1
Andreas Reisenegger,1,12,12.0,12,1,1
David Kramer,1,12,12.0,12,1,1
Mario Wilson,2,12,6.0,8,2,2
Daniel F. Escobar,1,12,12.0,12,1,1
S Desai,1,12,12.0,12,1,1
Felipe Sepúlveda-Figueroa,4,12,3.0,8,2,3
Ryo Takahata,1,12,12.0,12,1,1
Miguel Castillo,2,12,6.0,7,2,2
Diana Noriega,1,12,12.0,12,1,1
S. Giardiello,1,12,12.0,12,1,1
S. Charney,1,12,12.0,12,1,1
Dewan S. A. Majid,1,12,12.0,12,1,1
S R Hinton,1,12,12.0,12,1,1
S Ferraro,1,12,12.0,12,1,1
JEANETTE BELTRAN,1,12,12.0,12,1,1
Mario Pupo-Meriño,1,12,12.0,12,1,1
Mario Blersch,1,12,12.0,12,1,1
Liliana Fuentes,1,12,12.0,12,1,1
William Rafhael da Silva,1,12,12.0,12,1,1
R. Gonzalez Lopez,1,12,12.0,12,1,1
Cheng-Yong Zhang,1,12,12.0,12,1,1
Juan José Sáez,1,12,12.0,12,1,1
Juan Luis Gómez‐Cámer,4,12,3.0,8,2,3
Harold Suárez‐Baron,1,12,12.0,12,1,1
Maribel Mamani,2,12,6.0,12,1,2
J.C. Bérnède,2,12,6.0,8,2,2
Felipe Troncoso,1,12,12.0,12,1,1
Miriam Barros,1,12,12.0,12,1,1
Antonieta Cardemil,1,12,12.0,12,1,1
Eduardo Cavieres Figueroa,9,12,1.33,7,2,3
Ruth R. Do Nascimento,1,12,12.0,12,1,1
Ana María Galeano‐Chavarria,1,12,12.0,12,1,1
Paola King,1,12,12.0,12,1,1
Andrew C. Curnow,1,12,12.0,12,1,1
Andressa L. Lemos,1,12,12.0,12,1,1
Pamela Álvarez,2,12,6.0,7,2,2
R. Rojas,10,12,1.2,4,2,3
Claudia Araya,1,12,12.0,12,1,1
D. N. Friedel,1,12,12.0,12,1,1
Aaron B. Pearlman,1,12,12.0,12,1,1
J.A. Rivera Gómez,1,12,12.0,12,1,1
B. A. Benson,2,12,6.0,12,1,2
Mariana Benítez,1,12,12.0,12,1,1
Javier Pereyra,1,12,12.0,12,1,1
José L. González-Alfonso,1,12,12.0,12,1,1
Felipe Valenzuela,1,12,12.0,12,1,1
Mariana B. Grizante,1,12,12.0,12,1,1
W. J. Percival,1,12,12.0,12,1,1
R. P. Rollins,1,12,12.0,12,1,1
Pamela Altamirano,1,12,12.0,12,1,1
Emilios Christodoulidis,1,12,12.0,12,1,1
Cristina Simpson,2,12,6.0,8,2,2
Cristina Ravanal,1,12,12.0,12,1,1
Rossy Olivares,2,12,6.0,8,2,2
José J. Fernández-Melgarejo,1,12,12.0,12,1,1
Rony Silvestre,1,12,12.0,12,1,1
Carolina Saavedra,2,12,6.0,10,2,2
Marcus Nüsser,1,12,12.0,12,1,1
B. Valverde,1,12,12.0,12,1,1
B. Patridge,1,12,12.0,12,1,1
Charles L. Griffiths,1,12,12.0,12,1,1
Fabián H. Acuña,1,12,12.0,12,1,1
Sílvia Castro,1,12,12.0,12,1,1
Karen Peña-Rojas,1,12,12.0,12,1,1
Ana I. Molina,2,12,6.0,11,1,2
R.C. Carrasco,1,12,12.0,12,1,1
Ana M. Cabanas,1,12,12.0,12,1,1
Lisa W. Seeb,1,12,12.0,12,1,1
T. M. Crawford,1,12,12.0,12,1,1
Daniel A. Soto,1,12,12.0,12,1,1
Carmen Lacave,2,12,6.0,11,1,2
Baidya Nath-Saha,1,12,12.0,12,1,1
Juan R. Godoy-López,1,12,12.0,12,1,1
Rodrígo Sepúlveda,6,12,2.0,6,2,3
Camilo del Río,1,12,12.0,12,1,1
Fabián Aspée,1,12,12.0,12,1,1
Rodrigo Puentes,1,12,12.0,12,1,1
Rodrigo Nunes da Fonseca,1,12,12.0,12,1,1
N MacCrann,1,12,12.0,12,1,1
José Cusba,3,12,4.0,6,2,3
Fernanda González-Arancibia,1,12,12.0,12,1,1
Dani Lightle,1,12,12.0,12,1,1
Juan Vidal Cruz,1,12,12.0,12,1,1
Abel Castañeda,1,12,12.0,12,1,1
Eva Soto,1,12,12.0,12,1,1
Boris Villalobos,2,12,6.0,9,2,2
Isadora Schneider-Valenzuela,4,12,3.0,8,2,3
Abbas Taheri,2,12,6.0,10,2,2
R. Sepulveda-Verdugo,1,12,12.0,12,1,1
David Ortega,1,12,12.0,12,1,1
David Núñez,2,12,6.0,6,2,2
Cian O’Mathúna,1,12,12.0,12,1,1
Tatsuya Tsukuda,1,12,12.0,12,1,1
J. Gonzalez-Lopez,3,12,4.0,12,1,3
Terezinha Maria Castro Della Lúcia,1,12,12.0,12,1,1
Lucia V. Torres‐Lopez,1,12,12.0,12,1,1
Lucas Cereceda,1,12,12.0,12,1,1
Rainer Knust,1,12,12.0,12,1,1
Jheimmy Diaz,1,12,12.0,12,1,1
Véronique Guerchais,1,12,12.0,12,1,1
Abel E. Vásquez,1,12,12.0,12,1,1
Manuel Quilodrán,2,12,6.0,6,2,2
Fernanda Pinto‐Ibieta,1,12,12.0,12,1,1
Cameron Hummels,1,12,12.0,12,1,1
Manuel Gallango Brejano,1,12,12.0,12,1,1
Edmundo F. Lavia,1,12,12.0,12,1,1
Beatriz Cámara,2,12,6.0,12,1,2
Natalie Contador Pergelier,1,12,12.0,12,1,1
Natalia Pabón‐Mora,1,12,12.0,12,1,1
F.S. Martin,2,12,6.0,12,1,2
Elena Krishnevskaya,1,12,12.0,12,1,1
E. Botello,1,12,12.0,12,1,1
Violeta Arancibia,1,12,12.0,12,1,1
Francisco Rojas,3,12,4.0,9,2,3
Ramon Miquel,1,12,12.0,12,1,1
Victoria Gómez,2,12,6.0,8,2,2
Victoria Ferrero,1,12,12.0,12,1,1
Manuel Bernabé,1,12,12.0,12,1,1
Beatriz Pavez,3,12,4.0,5,3,3
Nayadeth Cortés,2,12,6.0,10,2,2
Humberto Gomez,1,12,12.0,12,1,1
Humberto García‐Arellano,1,12,12.0,12,1,1
Carolina Zec,3,12,4.0,6,3,3
Rodrigo A. González,2,12,6.0,8,2,2
Nelson Padilla,1,12,12.0,12,1,1
Christoph Held,2,12,6.0,9,2,2
José A Olaeta C,2,12,6.0,10,2,2
Damian Miranda-Aparicio,1,12,12.0,12,1,1
Tobias Scharnweber,1,12,12.0,12,1,1
Carolina Carrasco,1,12,12.0,12,1,1
Excequel Ponce Guequen,1,12,12.0,12,1,1
Vicky F. Rands,1,12,12.0,12,1,1
Francisco Vergara‐Silva,1,12,12.0,12,1,1
Jorge Ibañez-Vega,1,12,12.0,12,1,1
Andrés Caicedo,1,12,12.0,12,1,1
Fidel Roig Juñent,1,12,12.0,12,1,1
Ludmila Guimarães Ribeiro,1,12,12.0,12,1,1
Nicholas Michael,1,12,12.0,12,1,1
Daniela S. Rivera,1,12,12.0,12,1,1
Fernando António Leal Pacheco,1,12,12.0,12,1,1
Daniela Poblete,1,12,12.0,12,1,1
F. Prada,2,12,6.0,12,1,2
Haipeng Luo,1,12,12.0,12,1,1
Mahdi Kord Zangeneh,1,12,12.0,12,1,1
Luis Bertoglia Richards,3,12,4.0,6,2,3
K. Reil,1,12,12.0,12,1,1
Ivanovic Marincovich Dm,1,12,12.0,12,1,1
Verónica García,1,12,12.0,12,1,1
P. Anshul,2,12,6.0,12,1,2
Jorge Morales‐Zúñiga,1,12,12.0,12,1,1
Jessica R. Lu,1,12,12.0,12,1,1
Cecilia Zumajo‐Cardona,1,12,12.0,12,1,1
Magdalena S. Pizarro-Ortega,1,12,12.0,12,1,1
Gloria Piedad Gasca‐Hurtado,1,12,12.0,12,1,1
Fernando D. González‐Nilo,1,12,12.0,12,1,1
Nicole Jeraldo,1,12,12.0,12,1,1
G Giannini,1,12,12.0,12,1,1
Gonzalo Almarza,1,12,12.0,12,1,1
Adolfo de Nordenflycht,4,12,3.0,6,3,3
K. Brown,1,12,12.0,12,1,1
Danitza Pizarro,2,12,6.0,6,2,2
Jessie Godfrey,1,12,12.0,12,1,1
Toro Diaz Ta,1,12,12.0,12,1,1
Erick Viera,1,12,12.0,12,1,1
Rocío Ogaz Rojas,1,12,12.0,12,1,1
Rocío Lorca,1,12,12.0,12,1,1
Robinson Vargas,1,12,12.0,12,1,1
Robinson Osses,1,12,12.0,12,1,1
Tomasz Służalec,2,12,6.0,6,2,2
Tuyen Truong,1,12,12.0,12,1,1
Nicolás Gómez-Álvarez,3,12,4.0,8,2,3
Agustina Undabarrena,2,12,6.0,12,1,2
M. Seeger,2,12,6.0,7,2,2
Robert Kehoe,2,12,6.0,12,1,2
Robert Ahumada Cortes,1,12,12.0,12,1,1
Félix Arto-Paz,1,12,12.0,12,1,1
Angela C. Court,1,12,12.0,12,1,1
Gonzalo Garcés,3,12,4.0,12,1,3
Ivany Rodrigues Pino,3,12,4.0,9,2,3
Carlos Farkas,1,12,12.0,12,1,1
Oscar López Cortés,2,12,6.0,8,2,2
Oscar Gerardo-Nieto,1,12,12.0,12,1,1
Frank A. Chapman,2,12,6.0,8,2,2
Jorge Páramo,3,12,4.0,6,2,3
Jorge Pinares,2,12,6.0,12,1,2
Ute Jacob,1,12,12.0,12,1,1
Niraj L. Sehgal,1,12,12.0,12,1,1
Claudia Cuervo,2,12,6.0,7,2,2
Jose Barraza,1,12,12.0,12,1,1
Jos Vanrenterghem,1,12,12.0,12,1,1
Nurmahani Mohd Maidin,1,12,12.0,12,1,1
Almagia Flores Aa,1,12,12.0,12,1,1
Alma Piñeyro‐Nelson,1,12,12.0,12,1,1
Vanessa de Almeida Guimarães,1,12,12.0,12,1,1
Vanessa Suaza‐Gaviria,1,12,12.0,12,1,1
Vanessa Mafra Pio,2,12,6.0,8,2,2
Claudio Carril Pardo,1,12,12.0,12,1,1
Omar Antonio Davison,1,12,12.0,12,1,1
M. Gonzalez,1,12,12.0,12,1,1
Bernard Rimé,1,12,12.0,12,1,1
M. Cardenas,5,12,2.4,5,2,3
F. Comelles,1,12,12.0,12,1,1
Fernando R. Humire,5,12,2.4,5,2,3
Fernando Moncada Nahuelquín,4,12,3.0,6,2,3
J L Marshall,1,12,12.0,12,1,1
J J Mohr,1,12,12.0,12,1,1
J García-Bellido,1,12,12.0,12,1,1
M. A. Tapia,2,12,6.0,10,2,2
Iván Meza,1,12,12.0,12,1,1
Cristian Osorio,1,12,12.0,12,1,1
Cristian Morales‐Indiano,1,12,12.0,12,1,1
Iván Chanez-Cortés,3,12,4.0,6,2,3
Adriana Aparecida Dragone Silveira,2,12,6.0,9,2,2
Valeria Tapia-Marzán,2,12,6.0,8,2,2
Valeria Miranda,2,12,6.0,11,1,2
Olivier Pigaglio,3,12,4.0,12,1,3
Andrés R. Alcántara,2,12,6.0,12,1,2
Jorge Santos,2,12,6.0,7,2,2
Valeria Arriaza,2,12,6.0,7,2,2
Léo Müller,2,12,6.0,9,2,2
Lyman Page,2,12,6.0,10,2,2
Gonzalo Soto,1,12,12.0,12,1,1
Fernando Passold,2,12,6.0,8,2,2
Ricardo López Rodríguez,1,12,12.0,12,1,1
Ricardo A. Manzo,1,12,12.0,12,1,1
Ángela Machuca,1,12,12.0,12,1,1
Ketty Cazorla Becerra,4,12,3.0,6,2,3
Álvaro Caballero,5,12,2.4,8,2,3
Ernesto Maldonado,1,12,12.0,12,1,1
Cristobal Sifón,1,12,12.0,12,1,1
Andrea Afruni,1,12,12.0,12,1,1
sonia Osses-Bustingorry,1,12,12.0,12,1,1
Ilton Curty Leal,1,12,12.0,12,1,1
Gustavo Lazzaro Rezende,1,12,12.0,12,1,1
Gustavo Hunter,1,12,12.0,12,1,1
Jairo Azócar-Gallardo,7,11,1.57,4,3,3
E. Ros,2,11,5.5,11,1,2
Paula Ávila C,1,11,11.0,11,1,1
Peter H. Westfall,1,11,11.0,11,1,1
Perla Ferrer,1,11,11.0,11,1,1
María-Josée Saavedra,1,11,11.0,11,1,1
Arnout D’Haese,1,11,11.0,11,1,1
Arne Verliefde,1,11,11.0,11,1,1
Diego Gudberto Lara Paredes,1,11,11.0,11,1,1
Diego Giulliano Destro Christófaro,4,11,2.75,5,3,3
Diego Gajardo,3,11,3.67,4,3,3
María Trigueros,4,11,2.75,6,2,3
Serge Prudhomme,1,11,11.0,11,1,1
Eileen F. Power,1,11,11.0,11,1,1
Gean C. Arteaga,1,11,11.0,11,1,1
María Spencer-Sandino,1,11,11.0,11,1,1
María Soledad Le Roy,1,11,11.0,11,1,1
Hilda Souza Neves Salinas,1,11,11.0,11,1,1
Fernando Rodríguez A,1,11,11.0,11,1,1
Gonzalo Vásquez,1,11,11.0,11,1,1
Júlio Cesar Escalona Arranz,4,11,2.75,6,2,3
Valentina Valenzuela‐Muñoz,1,11,11.0,11,1,1
Valentina Núñez‐Pascual,2,11,5.5,8,2,2
Valentina Mondaca,1,11,11.0,11,1,1
M. A. Chapanoff,1,11,11.0,11,1,1
Berry J. Brosi,1,11,11.0,11,1,1
Lynn Vanhaecke,1,11,11.0,11,1,1
Dámariz González,1,11,11.0,11,1,1
François Crouchett-Catalán,2,11,5.5,9,2,2
Ricardo Pérez-Díaz,1,11,11.0,11,1,1
A. A. Amado De Santis,1,11,11.0,11,1,1
Claudio Urra,1,11,11.0,11,1,1
Ernest I. Hennig,1,11,11.0,11,1,1
C Lagos-Olivos,1,11,11.0,11,1,1
Andrés Moltedo-Perfetti,3,11,3.67,6,2,3
Andrés Mejı́a,1,11,11.0,11,1,1
F. C. Muñoz-La Rivera,2,11,5.5,9,2,2
Valeska López,2,11,5.5,7,2,2
Iván Jara Solar,1,11,11.0,11,1,1
Bin Deng,2,11,5.5,11,1,2
C. Silva,3,11,3.67,5,2,3
Bernardita Ried Guachalla,6,11,1.83,10,1,3
Claudio Dietz-Vargas,1,11,11.0,11,1,1
Valentina Capalbo,1,11,11.0,11,1,1
Ricardo Miranda,2,11,5.5,11,1,2
Christopher Hamilton‐West,1,11,11.0,11,1,1
C. Yáñez,1,11,11.0,11,1,1
Valeria R. Turowski,2,11,5.5,11,1,2
Olivia Norfolk,1,11,11.0,11,1,1
Fernando Varas,2,11,5.5,11,1,2
Drissa Coulibaly,1,11,11.0,11,1,1
Dragica Bezjak,1,11,11.0,11,1,1
Benoît Geslin,1,11,11.0,11,1,1
C.A.M. van Gestel,1,11,11.0,11,1,1
V. Toledo,1,11,11.0,11,1,1
V. Marcelo Campos,1,11,11.0,11,1,1
V. Chico,1,11,11.0,11,1,1
F. Loi,1,11,11.0,11,1,1
J. A. Fernández Gajardo,2,11,5.5,7,2,2
Alvaro Parra Urbina,1,11,11.0,11,1,1
Nélson Lima,1,11,11.0,11,1,1
F. Guillermo Díaz,1,11,11.0,11,1,1
Vanessa F. Arias,1,11,11.0,11,1,1
Valérie Fournier,1,11,11.0,11,1,1
Jess Baumann,1,11,11.0,11,1,1
Omar Lamelés-Corvalán,2,11,5.5,6,2,2
Amanda Morales-González,1,11,11.0,11,1,1
Veronica Torresan,1,11,11.0,11,1,1
Vanúcia Shumacher,1,11,11.0,11,1,1
Vanúcia Schumacher,1,11,11.0,11,1,1
U. Bach,2,11,5.5,11,1,2
César Garrido,1,11,11.0,11,1,1
Alonso Molina,1,11,11.0,11,1,1
Riccardo Bommarco,1,11,11.0,11,1,1
Nora Díaz,1,11,11.0,11,1,1
Noemí Suárez Monzón,1,11,11.0,11,1,1
Frédéric McCune,1,11,11.0,11,1,1
Hermann M. Fritz,1,11,11.0,11,1,1
Roberto Acebey Aldunate,3,11,3.67,5,3,3
Robert Weiss,1,11,11.0,11,1,1
M. J. Rodríguez,1,11,11.0,11,1,1
M. Iacobelli,1,11,11.0,11,1,1
J. A. Zensus,1,11,11.0,11,1,1
Julio A. Benavides,1,11,11.0,11,1,1
M. Tosi,3,11,3.67,5,2,3
Constanza Cristaldi,2,11,5.5,11,1,2
M. S. S. Gill,1,11,11.0,11,1,1
Robert Fowler,1,11,11.0,11,1,1
Jeffrey A. Hodgson,1,11,11.0,11,1,1
Jose Rodríguez-Siza,1,11,11.0,11,1,1
Roberto Licandeo,1,11,11.0,11,1,1
M. Rault,1,11,11.0,11,1,1
M. Ortega-Villaizan,1,11,11.0,11,1,1
C. Serbource,1,11,11.0,11,1,1
Adenilson S. Barroso,1,11,11.0,11,1,1
F Villarroel,5,11,2.2,11,1,3
Reinaldo B. Arellano‐Valle,1,11,11.0,11,1,1
Ferrés,1,11,11.0,11,1,1
Carla Bartolucci,1,11,11.0,11,1,1
Alina Martínez Hernández,1,11,11.0,11,1,1
Mabel Cecilia Bonardi,2,11,5.5,11,1,2
M. Ximena Urbina,2,11,5.5,7,2,2
M. Xiao,1,11,11.0,11,1,1
Benjamin C. Gill,1,11,11.0,11,1,1
Erich F. Quiroz,1,11,11.0,11,1,1
F. Montecinos,1,11,11.0,11,1,1
Fernando García-Pascual,1,11,11.0,11,1,1
Hui Tang,1,11,11.0,11,1,1
Carlos Maldonado,1,11,11.0,11,1,1
Angela Villareal,1,11,11.0,11,1,1
Josefina DeFerrari,1,11,11.0,11,1,1
Nicolás Fehring,1,11,11.0,11,1,1
Deborah A. Delaney,1,11,11.0,11,1,1
Agustina Ganuza,2,11,5.5,11,1,2
Björn K. Klatt,1,11,11.0,11,1,1
Graciela Alejandra Rubio,1,11,11.0,11,1,1
H. Lin,1,11,11.0,11,1,1
Danilo Leal,1,11,11.0,11,1,1
David Ramírez-Gil,1,11,11.0,11,1,1
David R. Silva,1,11,11.0,11,1,1
Jorge Palacios,1,11,11.0,11,1,1
Jorge Negrete,7,11,1.57,11,1,3
K. A. Lindgren,1,11,11.0,11,1,1
Gordon Fitch,1,11,11.0,11,1,1
Birgit Jauker,1,11,11.0,11,1,1
Tomás P. Corrales,1,11,11.0,11,1,1
Erick López,1,11,11.0,11,1,1
Tommaso La Malfa,1,11,11.0,11,1,1
Dayán Sanhueza,1,11,11.0,11,1,1
Dayana Soto,1,11,11.0,11,1,1
Jorge Muñoz-Gama,2,11,5.5,7,2,2
Jorge Marchant,2,11,5.5,6,2,2
Jessica R. K. Forrest,1,11,11.0,11,1,1
Daniyal Alghazzawi,1,11,11.0,11,1,1
I.M.Sierra García,1,11,11.0,11,1,1
Gloria González-Silva,1,11,11.0,11,1,1
Juliana Oliveira de Souza,1,11,11.0,11,1,1
Nicole Orellana,1,11,11.0,11,1,1
Nicole Brennan,1,11,11.0,11,1,1
Joseph H. Reibenspies,1,11,11.0,11,1,1
Angie V. Caicedo P.,1,11,11.0,11,1,1
Maciej Woźniak,4,11,2.75,5,2,3
Caio P. Fernandes,1,11,11.0,11,1,1
Godofredo Iommi Amunátegui,19,11,0.58,5,2,2
Traudl Krapp-Schickel,2,11,5.5,11,1,2
Adrian González‐Chaves,1,11,11.0,11,1,1
Andrés Aguirre,1,11,11.0,11,1,1
P. Novoa,1,11,11.0,11,1,1
Blake Hanson,3,11,3.67,11,1,3
Lucía G. González,1,11,11.0,11,1,1
J. Colas,1,11,11.0,11,1,1
Nicholas R. MacDonald,1,11,11.0,11,1,1
Anikó Kovács‐Hostyánszki,1,11,11.0,11,1,1
Rodolfo Moresco,1,11,11.0,11,1,1
Cristóbal Karich,1,11,11.0,11,1,1
Daniela S. Arango González,1,11,11.0,11,1,1
Fernando Barraza,1,11,11.0,11,1,1
Jean Paul Metzger,1,11,11.0,11,1,1
Ahmed M. Moustafa,3,11,3.67,11,1,3
Luis Basáez,2,11,5.5,6,2,2
Vial,1,11,11.0,11,1,1
Andrés C. Milessi,3,11,3.67,7,2,3
Rodrigo Demarco,1,11,11.0,11,1,1
Rodrigo Alves Soares Cruz,1,11,11.0,11,1,1
Nelly Pustelnik,1,11,11.0,11,1,1
Naysha Villasante‐Bravo,1,11,11.0,11,1,1
José A. Iturra-González,2,11,5.5,11,1,2
Glaucius Oliva,1,11,11.0,11,1,1
Juliana Hipólito,1,11,11.0,11,1,1
Toby P. N. Tsang,1,11,11.0,11,1,1
Tobias Frohoff-Hülsmann,1,11,11.0,11,1,1
F. Villena,1,11,11.0,11,1,1
F. Vazza,1,11,11.0,11,1,1
F. Tabbert,1,11,11.0,11,1,1
Victor Gallegos,1,11,11.0,11,1,1
Adam J. Bates,1,11,11.0,11,1,1
Jesús L. Romalde,1,11,11.0,11,1,1
Ramiro Riquelme‐Bugueño,1,11,11.0,11,1,1
Luciana Tornquist,2,11,5.5,8,2,2
Evelyn Mujica Appiani,3,11,3.67,5,2,3
Francisco Sáiz G,1,11,11.0,11,1,1
André Orcesi,1,11,11.0,11,1,1
Ramón Amigo,1,11,11.0,11,1,1
Ana Carolina Pereira Machado,1,11,11.0,11,1,1
Gregorio Gálvez‐Valdivieso,1,11,11.0,11,1,1
Celeste Bertin,1,11,11.0,11,1,1
Gladys Tapia,1,11,11.0,11,1,1
G. Concheri,1,11,11.0,11,1,1
Nattamai Bhuvanesh,1,11,11.0,11,1,1
Anna Caroline Campos Aguiar,1,11,11.0,11,1,1
Canlong Liu,3,11,3.67,9,2,3
Eduardo Cuellar,1,11,11.0,11,1,1
Rodrigo Martín Jiménez,1,11,11.0,11,1,1
Rodrigo Iván Contreras‐Soto,1,11,11.0,11,1,1
Christiane Hassenrück,1,11,11.0,11,1,1
Dan M. Frangopol,2,11,5.5,11,1,2
Domingo Ruiz Caballero,4,11,2.75,10,1,3
Manuel Gutiérrez,1,11,11.0,11,1,1
Juha Pyrhönen,2,11,5.5,6,2,2
Thomás Valente de Oliveira,2,11,5.5,8,2,2
Thomas Uslar,1,11,11.0,11,1,1
Natalia Zimin-Veselkoff,2,11,5.5,8,2,2
Natalia Zamora,1,11,11.0,11,1,1
G. Giovannini,1,11,11.0,11,1,1
Daniela Muñoz,2,11,5.5,11,1,2
Daniela Lillo Muñoz,1,11,11.0,11,1,1
Elena Llop,1,11,11.0,11,1,1
Manuel Díaz,2,11,5.5,7,2,2
E. Buckley‐Geer,1,11,11.0,11,1,1
Edgardo Mendoza,3,11,3.67,8,2,3
Kami Kim,2,11,5.5,11,1,2
Eva Samanta Ávila‐Gómez,1,11,11.0,11,1,1
Viviana Rivera-Estay,3,11,3.67,8,2,3
Vishalakshi Kuppusamy,1,11,11.0,11,1,1
Pablo Gutiérrez‐Tapia,1,11,11.0,11,1,1
Danny Harmsen,1,11,11.0,11,1,1
Rafael V. C. Guido,1,11,11.0,11,1,1
Abel Toledano-González,1,11,11.0,11,1,1
Hamutahl Cohen,1,11,11.0,11,1,1
Thomas Moser,2,11,5.5,11,1,2
Ajay Gill,1,11,11.0,11,1,1
Aide Lasa,1,11,11.0,11,1,1
Eduardo da Costa Nunes,1,11,11.0,11,1,1
Natalia Escobedo‐Kenefic,1,11,11.0,11,1,1
Anna Eliza Maciel de Faria Mota Oliveira,1,11,11.0,11,1,1
Natalia Arakaki,1,11,11.0,11,1,1
Claudio Hinojosa-Torres,8,11,1.38,5,2,2
Teresa Balboa‐Castillo,1,11,11.0,11,1,1
Tatiana Cantuarias-Avilés,1,11,11.0,11,1,1
Tanya Latty,1,11,11.0,11,1,1
Maragathavalli Shanmugasundaram,1,11,11.0,11,1,1
Hannah R. Gaines‐Day,1,11,11.0,11,1,1
Anna Ronowska,1,11,11.0,11,1,1
G. P. Jara,1,11,11.0,11,1,1
G. Orozco,1,11,11.0,11,1,1
José Carlos Tavares Carvalho,1,11,11.0,11,1,1
José C. Matos,2,11,5.5,11,1,2
Rodrigo Villaseñor,4,11,2.75,6,2,3
Alfredo Bueno-Solano,2,11,5.5,10,1,2
Alfred Strauß,2,11,5.5,11,1,2
Lucciano Testa,1,11,11.0,11,1,1
Lucas Petit‐dit‐Grézériat,2,11,5.5,11,1,2
Juan Rivera‐Letelier,4,11,2.75,10,1,3
Fabián Campos Vergara,2,11,5.5,8,2,2
Tabata Contreras,2,11,5.5,9,2,2
Roman Osorio Comparan,1,11,11.0,11,1,1
Roger Schurch,2,11,5.5,8,2,2
Fernanda Ishida Corrêa,1,11,11.0,11,1,1
Alan Bronfman Vargas,8,11,1.38,6,2,3
Fabiola González‐Herrera,1,11,11.0,11,1,1
Basilio Carrasco,1,11,11.0,11,1,1
Marcela Cely‐Santos,1,11,11.0,11,1,1
Vojtěch Ettler,2,11,5.5,10,1,2
Vladimir Kaczyński,1,11,11.0,11,1,1
Ana Luisa Navarrete Valencia,2,11,5.5,10,1,2
Rafael Elizondo,2,11,5.5,10,1,2
Rade Hajdin,1,11,11.0,11,1,1
Pablo Irarrázaval,2,11,5.5,7,2,2
Lorena Díaz,3,11,3.67,11,1,3
Lora A. Morandin,1,11,11.0,11,1,1
Lizbeth Mera,1,11,11.0,11,1,1
Lisseth R. Espinoza,2,11,5.5,7,2,2
Lisset Ortíz Zamora,1,11,11.0,11,1,1
Pakorn Nalinrachatakan,1,11,11.0,11,1,1
Andràs Báldí,1,11,11.0,11,1,1
Andrzej Szutowicz,1,11,11.0,11,1,1
Rachel E. Mallinger,1,11,11.0,11,1,1
T. Savolainen,2,11,5.5,11,1,2
T. P. Krichbaum,2,11,5.5,11,1,2
Albert Romkes,1,11,11.0,11,1,1
Albani Gonzalez L.,1,11,11.0,11,1,1
Baldomero Estrada Turra,12,11,0.92,2,2,2
Annika L. Hass,1,11,11.0,11,1,1
Henri Lastakowski,1,11,11.0,11,1,1
Javier Sellanes,2,11,5.5,10,1,2
Héctor W. Gómez,1,11,11.0,11,1,1
Juan Pablo Cumillaf,3,11,3.67,7,2,3
Marcos Sepúlveda,2,11,5.5,7,2,2
Marco Laurenti,1,11,11.0,11,1,1
Giorgio Sonnino,1,11,11.0,11,1,1
Marco Batarce,2,11,5.5,7,2,2
Fernanda Arredondo,1,11,11.0,11,1,1
Anson R. Main,1,11,11.0,11,1,1
José Galaz,1,11,11.0,11,1,1
Gaang Lee,3,11,3.67,9,2,3
Christian R. González,1,11,11.0,11,1,1
Marco Azúa,2,11,5.5,10,1,2
Giovanni Isopi,1,11,11.0,11,1,1
Víctor Salinas-Silva,8,11,1.38,4,2,3
Víctor Orellana,1,11,11.0,11,1,1
J. V. Parker,1,11,11.0,11,1,1
Monika Egerer,1,11,11.0,11,1,1
Catalina Gutiérrez‐Chacón,1,11,11.0,11,1,1
Daniela Catalán,1,11,11.0,11,1,1
I Friedrich,1,11,11.0,11,1,1
Hérica Núbia Silva de Oliveira,1,11,11.0,11,1,1
Hélder S. Sousa,3,11,3.67,11,1,3
Maria Blanco Lobos,1,11,11.0,11,1,1
B. Nord,1,11,11.0,11,1,1
B. Kostet,1,11,11.0,11,1,1
Sylwia Gul‐Hinc,1,11,11.0,11,1,1
Svetlana V. Gurevich,1,11,11.0,11,1,1
Svenja Bänsch,1,11,11.0,11,1,1
Montserrat Plascencia,1,11,11.0,11,1,1
Rosa Helena Veras Mourão,1,11,11.0,11,1,1
Feng Wang,1,11,11.0,11,1,1
Lina Beltrán,1,11,11.0,11,1,1
Karin A. Pfeiffer,2,11,5.5,8,2,2
Eder Ramírez,3,11,3.67,11,1,3
