author_id,author_name,afiliacion_actual,orcid,areas_tematicas,documentos,citas,h_index,metricas_extra_json,status,error,scraped_at
7403520925,"Wilson, Lorena",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-0791-920X&authorId=7403520925&origin=AuthorProfile&orcId=0000-0002-0791-920X&category=orcidLink,,110,"3,865",35,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""1"", ""metrica_10"": ""4"", ""metrica_11"": ""7"", ""metrica_12"": ""1""}",ok,,2026-08-17T04:50:25.838186+00:00
8332398700,"Altamirano, Claudia",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-6389-086X&authorId=8332398700&origin=AuthorProfile&orcId=0000-0002-6389-086X&category=orcidLink,,98,"2,779",33,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""1"", ""metrica_6"": ""0"", ""metrica_7"": ""1"", ""metrica_8"": ""0"", ""metrica_9"": ""10"", ""metrica_10"": ""12"", ""metrica_11"": ""10""}",ok,,2026-08-17T04:50:28.023010+00:00
7006142241,"Gomez, Humberto",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-9659-4215&authorId=7006142241&origin=AuthorProfile&orcId=0000-0002-9659-4215&category=orcidLink,,114,"3,557",34,"{""metrica_3"": ""2"", ""metrica_4"": ""2"", ""metrica_5"": ""55"", ""metrica_6"": ""2"", ""metrica_7"": ""7"", ""metrica_8"": ""1"", ""metrica_9"": ""6"", ""metrica_10"": ""39"", ""metrica_11"": ""8"", ""metrica_12"": ""18""}",ok,,2026-08-17T04:50:27.888113+00:00
56213692700,"Schrebler, Ricardo S.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-8358-6742&authorId=56213692700&origin=AuthorProfile&orcId=0000-0002-8358-6742&category=orcidLink,,141,"3,338",34,"{""metrica_3"": ""1"", ""metrica_4"": ""11"", ""metrica_5"": ""7"", ""metrica_6"": ""0"", ""metrica_7"": ""20"", ""metrica_8"": ""9"", ""metrica_9"": ""1"", ""metrica_10"": ""2"", ""metrica_11"": ""2"", ""metrica_12"": ""13""}",ok,,2026-08-17T04:50:30.820617+00:00
24504020400,"Mellado, Claudia",,,,123,"4,578",33,"{""metrica_3"": ""1"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""5"", ""metrica_7"": ""21"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""0"", ""metrica_11"": ""3"", ""metrica_12"": ""3""}",ok,,2026-08-17T04:50:31.899725+00:00
6603874955,"Chamy, Rolando",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0001-8718-9173&authorId=6603874955&origin=AuthorProfile&orcId=0000-0001-8718-9173&category=orcidLink,,116,"3,946",32,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""2"", ""metrica_6"": ""3"", ""metrica_7"": ""0"", ""metrica_8"": ""9"", ""metrica_9"": ""19"", ""metrica_10"": ""8"", ""metrica_11"": ""12"", ""metrica_12"": ""18""}",ok,,2026-08-17T04:50:33.013469+00:00
7006279021,"Mercado, Luis A.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-3883-5188&authorId=7006279021&origin=AuthorProfile&orcId=0000-0003-3883-5188&category=orcidLink,,125,"2,780",31,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""1"", ""metrica_7"": ""1"", ""metrica_8"": ""3"", ""metrica_9"": ""1"", ""metrica_10"": ""2"", ""metrica_11"": ""2"", ""metrica_12"": ""2""}",ok,,2026-08-17T04:50:35.914285+00:00
8450932400,"Herrera, Ramón",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-6841-1629&authorId=8450932400&origin=AuthorProfile&orcId=0000-0002-6841-1629&category=orcidLink,,117,"2,608",31,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""2"", ""metrica_7"": ""2"", ""metrica_8"": ""2"", ""metrica_9"": ""2"", ""metrica_10"": ""0"", ""metrica_11"": ""2"", ""metrica_12"": ""1""}",ok,,2026-08-17T04:50:36.683004+00:00
6602942522,"Hormazabal, S. E.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-0019-5058&authorId=6602942522&origin=AuthorProfile&orcId=0000-0003-0019-5058&category=orcidLink,,50,"2,209",30,"{""metrica_3"": ""0"", ""metrica_4"": ""1"", ""metrica_5"": ""9"", ""metrica_6"": ""17"", ""metrica_7"": ""8""}",ok,,2026-08-17T04:50:38.432814+00:00
7401823364,"Marshall, S. H.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-0438-8252&authorId=7401823364&origin=AuthorProfile&orcId=0000-0003-0438-8252&category=orcidLink,,106,"2,834",30,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""1"", ""metrica_6"": ""2"", ""metrica_7"": ""0.252""}",ok,,2026-08-17T04:57:43.292381+00:00
7102800070,"Silva, Nelson S.",,,,61,"2,461",30,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""1"", ""metrica_6"": ""0"", ""metrica_7"": ""0""}",ok,,2026-08-17T04:57:45.674479+00:00
23395875300,"Crawford, Broderick",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0001-5500-0188&authorId=23395875300&origin=AuthorProfile&orcId=0000-0001-5500-0188&category=orcidLink,,398,"3,547",29,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""46"", ""metrica_11"": ""9"", ""metrica_12"": ""0.796""}",ok,,2026-08-17T04:57:50.730442+00:00
24403038600,"Soto, Ricardo",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-5755-6929&authorId=24403038600&origin=AuthorProfile&orcId=0000-0002-5755-6929&category=orcidLink,,367,"3,521",29,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""45"", ""metrica_11"": ""6"", ""metrica_12"": ""0.825""}",ok,,2026-08-17T04:57:47.130033+00:00
57205156967,"Mussagy, Cassamo U.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-2907-5826&authorId=57205156967&origin=AuthorProfile&orcId=0000-0003-2907-5826&category=orcidLink,,140,"2,538",29,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""0"", ""metrica_11"": ""47"", ""metrica_12"": ""28"", ""metrica_13"": ""1.26""}",ok,,2026-08-17T04:57:54.086947+00:00
55082023800,"Cristi-Montero, Carlos S.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-9940-507X&authorId=55082023800&origin=AuthorProfile&orcId=0000-0002-9940-507X&category=orcidLink,,182,"5,855",30,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""0"", ""metrica_11"": ""0"", ""metrica_12"": ""0"", ""metrica_13"": ""18"", ""metrica_14"": ""11"", ""metrica_15"": ""0.888""}",ok,,2026-08-17T04:57:55.630049+00:00
57204225288,"Astefanesei, Dumitru",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0001-9667-9019&authorId=57204225288&origin=AuthorProfile&orcId=0000-0001-9667-9019&category=orcidLink,,61,"1,802",28,"{""metrica_3"": ""0"", ""metrica_4"": ""12"", ""metrica_5"": ""23"", ""metrica_6"": ""1.16""}",ok,,2026-08-17T04:57:58.971116+00:00
36738876300,"Guerrero, Cecilia",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-4701-3525&authorId=36738876300&origin=AuthorProfile&orcId=0000-0002-4701-3525&category=orcidLink,,71,"2,066",27,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""13"", ""metrica_11"": ""17"", ""metrica_12"": ""0.905""}",ok,,2026-08-17T04:57:59.601951+00:00
6603177229,"Aroca, German E.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-1376-7940&authorId=6603177229&origin=AuthorProfile&orcId=0000-0003-1376-7940&category=orcidLink,,93,"2,370",27,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0""}",ok,,2026-08-17T04:58:01.830643+00:00
55392755500,"Cisternas, Marco V.",,,,45,"2,014",26,"{""metrica_3"": ""3"", ""metrica_4"": ""27"", ""metrica_5"": ""1.467""}",ok,,2026-08-17T04:58:04.501861+00:00
7202229159,"Saavedra, Joel F.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-1430-3008&authorId=7202229159&origin=AuthorProfile&orcId=0000-0002-1430-3008&category=orcidLink,,99,"2,242",28,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""2"", ""metrica_8"": ""5"", ""metrica_9"": ""0.838""}",ok,,2026-08-17T04:58:04.456996+00:00
18635080500,"Ruíz-Filippi, Gonzalo",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-1870-8667&authorId=18635080500&origin=AuthorProfile&orcId=0000-0003-1870-8667&category=orcidLink,,54,"2,958",26,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0""}",ok,,2026-08-17T04:58:06.515052+00:00
7202553038,"Reyes, J. G.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0001-5541-5172&authorId=7202553038&origin=AuthorProfile&orcId=0000-0001-5541-5172&category=orcidLink,,69,"2,118",26,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0""}",ok,,2026-08-17T04:58:10.524533+00:00
56305790200,"González, Alexis A.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-0323-1448&authorId=56305790200&origin=AuthorProfile&orcId=0000-0003-0323-1448&category=orcidLink,,64,"1,909",26,"{""metrica_3"": ""0"", ""metrica_4"": ""10"", ""metrica_5"": ""16"", ""metrica_6"": ""1.051""}",ok,,2026-08-17T04:58:10.876191+00:00
6701482860,"Del Campo, Sergio",,,,77,"1,759",26,{},ok,,2026-08-17T04:58:12.582467+00:00
56024472300,"Feijoo, Felipe A.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-3129-9597&authorId=56024472300&origin=AuthorProfile&orcId=0000-0003-3129-9597&category=orcidLink,,71,"1,489",26,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""11"", ""metrica_8"": ""35"", ""metrica_9"": ""2.369""}",ok,,2026-08-17T04:58:15.389081+00:00
16219919500,"Muñoz, Ariel A.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-1719-4900&authorId=16219919500&origin=AuthorProfile&orcId=0000-0002-1719-4900&category=orcidLink,,62,"1,764",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""4"", ""metrica_6"": ""61"", ""metrica_7"": ""2.382""}",ok,,2026-08-17T04:58:16.505767+00:00
26433343600,"Fontúrbel, Francisco Enrique",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0001-8585-2816&authorId=26433343600&origin=AuthorProfile&orcId=0000-0001-8585-2816&category=orcidLink,,138,"2,351",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""0"", ""metrica_11"": ""0"", ""metrica_12"": ""28"", ""metrica_13"": ""17"", ""metrica_14"": ""0.904""}",ok,,2026-08-17T04:58:16.902526+00:00
6603032874,"Hugo Klahn, A.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-3979-2693&authorId=6603032874&origin=AuthorProfile&orcId=0000-0003-3979-2693&category=orcidLink,,92,"1,829",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0""}",ok,,2026-08-17T04:58:20.354017+00:00
51865122100,"Zuñiga, Maria Elvira",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0001-9587-4648&authorId=51865122100&origin=AuthorProfile&orcId=0000-0001-9587-4648&category=orcidLink,,43,"1,490",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0""}",ok,,2026-08-17T04:58:22.144357+00:00
27467624500,"RodrÃ­guez, Fernando RodrÃ­guez",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-4999-4857&authorId=27467624500&origin=AuthorProfile&orcId=0000-0002-4999-4857&category=orcidLink,,128,"2,204",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""13"", ""metrica_11"": ""17"", ""metrica_12"": ""0.946""}",ok,,2026-08-17T04:58:21.631658+00:00
56216339000,"Olea, Rodrigo",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-4996-5877&authorId=56216339000&origin=AuthorProfile&orcId=0000-0003-4996-5877&category=orcidLink,,74,"2,086",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0""}",ok,,2026-08-17T04:58:24.720049+00:00
6601982179,"Manzur, C.",,,,91,"2,105",24,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0""}",ok,,2026-08-17T04:58:26.800972+00:00
7003586234,"Wesson, Robert L.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-2702-0012&authorId=7003586234&origin=AuthorProfile&orcId=0000-0003-2702-0012&category=orcidLink,,52,"1,612",24,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0""}",ok,,2026-08-17T04:58:26.431903+00:00
24544736200,"Noreña, Jorge",,,,40,"1,957",24,"{""metrica_3"": ""1"", ""metrica_4"": ""1"", ""metrica_5"": ""0.312""}",ok,,2026-08-17T04:58:31.044072+00:00
35602879700,"Bravo, Manuel A.",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0002-4548-6265&authorId=35602879700&origin=AuthorProfile&orcId=0000-0002-4548-6265&category=orcidLink,,82,"1,713",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0""}",ok,,2026-08-17T04:58:30.985557+00:00
7406129672,"Garcia, J. Antonio",,https://www.scopus.com/redirect.uri?url=https://orcid.org/0000-0003-3126-8352&authorId=7406129672&origin=AuthorProfile&orcId=0000-0003-3126-8352&category=orcidLink,,82,"1,841",25,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""0"", ""metrica_8"": ""0"", ""metrica_9"": ""0"", ""metrica_10"": ""0"", ""metrica_11"": ""0"", ""metrica_12"": ""21"", ""metrica_13"": ""37"", ""metrica_14"": ""3.224""}",ok,,2026-08-17T04:58:31.647009+00:00
7004301883,"Carrillo, David",,,,91,"2,163",24,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0""}",ok,,2026-08-17T04:58:36.375201+00:00
23097347700,"Farías, Gonzalo",,,,128,"1,946",24,"{""metrica_3"": ""0"", ""metrica_4"": ""0"", ""metrica_5"": ""0"", ""metrica_6"": ""0"", ""metrica_7"": ""18"", ""metrica_8"": ""14"", ""metrica_9"": ""0.77""}",ok,,2026-08-17T04:58:35.884596+00:00
56224655100,"Córdova, Ricardo A.",,,,65,"1,696",23,{},ok,,2026-08-17T04:58:37.352897+00:00
