"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tapia E.; Sequeida A.; Castro A.; Montes C.; Zamora P.; López R.; Acevedo F.; Prieto H.","Tapia, Eduardo (7003957689); Sequeida, Álvaro (25643824100); Castro, Álvaro (36715869500); Montes, Christian (25643179500); Zamora, Pablo (59643046700); López, Reinaldo (25643307900); Acevedo, Fernando (7003903397); Prieto, Humberto (22986099900)","7003957689; 25643824100; 36715869500; 25643179500; 59643046700; 25643307900; 7003903397; 22986099900","Development of grapevine somatic embryogenesis using an air-lift bioreactor as an efficient tool in the generation of transgenic plants","2009","Journal of Biotechnology","139","1","","95","101","20","10.1016/j.jbiotec.2008.09.009","https://www.scopus.com/pages/publications/57349099430?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-57349099430"
"Proust P.C.; Fernandez J.C.","Proust, P.C. (6602656682); Fernandez, J.C. (57225974548)","6602656682; 57225974548","Experimental solid-liquid equilibria of binary mixtures of organic compounds","1986","Fluid Phase Equilibria","29","C","","265","272","4","10.1016/0378-3812(86)85028-2","https://www.scopus.com/pages/publications/0022793047?origin=resultslist","Article","Final","","Scopus","2-s2.0-0022793047"
"Aristizábal M.V.; Cardona A.C.A.; Dávila R.J.A.; Gómez P.Á.; Germán A.A.","Aristizábal, M. Valentina (57126043800); Cardona, A. Carlos A. (58128317400); Dávila, R. Javier A. (56085615100); Gómez, P. Álvaro (56786551600); Germán, Aroca A. (6603177229)","57126043800; 58128317400; 56085615100; 56786551600; 6603177229","Techno-economic and environmental analysis of the use of different biofuel blends to obtain jet biofuels additives","2014","Sustainable Engineering Forum 2014 - Core Programming Area at the 2014 AIChE Annual Meeting","","","","228","239","0","","https://www.scopus.com/pages/publications/84958523085?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-84958523085"
"Rosales B.; Vera R.; Moriena G.","Rosales, Blanca (7003274712); Vera, Rosa (7005768349); Moriena, Gustavo (6507943495)","7003274712; 7005768349; 6507943495","Evaluation of the protective properties of natural and artificial patinas on copper. Part I. Patinas formed by immersion","1999","Corrosion Science","41","4","","625","651","58","10.1016/S0010-938X(98)00108-5","https://www.scopus.com/pages/publications/0033117298?origin=resultslist","Article","Final","","Scopus","2-s2.0-0033117298"
"Illanes A.; Wilson L.; Vera C.","Illanes, Andrés (7004170275); Wilson, Lorena (7403520925); Vera, Carlos (55238284100)","7004170275; 7403520925; 55238284100","Chapter 16: Technical Biocatalysis","2018","RSC Catalysis Series","2018-January","32","","473","515","2","10.1039/9781788010450-00473","https://www.scopus.com/pages/publications/85049326257?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85049326257"
"Vidal C.L.; Schmal R.F.; Rivero S.; Villarroel R.H.","Vidal, Cristian L. (58628874800); Schmal, Rodolfo F. (35606201500); Rivero, Sabino (55619376300); Villarroel, Rodolfo H. (12764593200)","58628874800; 35606201500; 55619376300; 12764593200","Extension of UML sequence diagrams (unified modeling language) to aspect-oriented modeling; [Extensión del diagrama de secuencias uml (lenguaje de modelado unificado) para el modelado orientado a aspectos]","2012","Informacion Tecnologica","23","6","","51","62","6","10.4067/S0718-07642012000600007","https://www.scopus.com/pages/publications/84874865599?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84874865599"
"Altamirano C.; Berrios J.; Vergara M.","Altamirano, Claudia (8332398700); Berrios, Julio (7004545486); Vergara, Mauricio (57188633174)","8332398700; 7004545486; 57188633174","Nutrient media for cell culture technology","2014","Animal Cell Biotechnology: In Biologics Production","","","","368","388","0","10.1515/9783110278965.368","https://www.scopus.com/pages/publications/84979170002?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-84979170002"
"Vera C.; Guerrero C.; Conejeros R.; Illanes A.","Vera, Carlos (55238284100); Guerrero, Cecilia (36738876300); Conejeros, Raúl (35611393300); Illanes, Andrés (7004170275)","55238284100; 36738876300; 35611393300; 7004170275","Synthesis of galacto-oligosaccharides by β-galactosidase from Aspergillus oryzae using partially dissolved and supersaturated solution of lactose","2012","Enzyme and Microbial Technology","50","3","","188","194","157","10.1016/j.enzmictec.2011.12.003","https://www.scopus.com/pages/publications/84856444913?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84856444913"
"Panotopoulos G.; Rincón Á.","Panotopoulos, Grigoris (55876981500); Rincón, Ángel (56763719900)","55876981500; 56763719900","Quasinormal modes of regular black holes with non-linear electrodynamical sources","2019","European Physical Journal Plus","134","6","300","","","58","10.1140/epjp/i2019-12686-x","https://www.scopus.com/pages/publications/85067921310?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85067921310"
"Córdova O. R.; Carrillo C. D.; García L. M.","Córdova O., R. (6504774536); Carrillo C., D. (55665998000); García L., M. (25952412900)","6504774536; 55665998000; 25952412900","Polarographic behaviour of 2,3,4-pentanetrione-3-phenylhydrazone and some p-substituted derivatives","1981","Journal of Electroanalytical Chemistry","122","C","","255","262","0","10.1016/S0022-0728(81)80155-6","https://www.scopus.com/pages/publications/49049146538?origin=resultslist","Article","Final","","Scopus","2-s2.0-49049146538"
