universidad,anio,academicos_doctorado,academicos_extranjeros,academicos_jce,academicos_jce_doctorado,academicos_jce_extranjeros,academicos_total,estudiantes_doctorado,estudiantes_fte,estudiantes_magister,estudiantes_posgrado,estudiantes_pregrado,estudiantes_primer_anio,estudiantes_total,graduados_doctorado,graduados_magister,montos_anid_adjudicados,montos_anid_con_industria,pct_estudiantes_extranjeros,proyectos_anid_adjudicados,qs_puntaje_academicos_con_doctorado_latam,qs_puntaje_academicos_internacionales_global,qs_puntaje_articulos_por_academico_latam,qs_puntaje_citas_por_academico_global,qs_puntaje_citas_por_articulo_latam,qs_puntaje_diversidad_internacional_global,qs_puntaje_empleabilidad_global,qs_puntaje_estudiantes_internacionales_global,qs_puntaje_estudiantes_internacionales_latam,qs_puntaje_global_global,qs_puntaje_global_latam,qs_puntaje_impacto_web_latam,qs_puntaje_ratio_academicos_global,qs_puntaje_ratio_academicos_latam,qs_puntaje_red_internacional_global,qs_puntaje_red_internacional_latam,qs_puntaje_reputacion_academica_global,qs_puntaje_reputacion_academica_latam,qs_puntaje_reputacion_empleadores_global,qs_puntaje_reputacion_empleadores_latam,qs_puntaje_sostenibilidad_global,ratio_estudiantes_academico,the_posicion_latam,the_posicion_wur,the_puntaje_global_latam,the_puntaje_global_wur,the_puntaje_industry_latam,the_puntaje_industry_wur,the_puntaje_international_outlook_latam,the_puntaje_international_outlook_wur,the_puntaje_research_environment_latam,the_puntaje_research_environment_wur,the_puntaje_research_quality_latam,the_puntaje_research_quality_wur,the_puntaje_teaching_latam,the_puntaje_teaching_wur,titulados_especialidad_medica,titulados_pregrado,titulados_pregrado_total
Universidad Catolica del Maule,2016,132.0,28.0,393.5,122.0,14.16,850.0,16,,518,534,7093,1984,7784,,33.0,532366000,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,857.0,880.0
Universidad Catolica del Maule,2017,144.0,38.0,406.86,132.73,20.23,851.0,33,,479,512,7471,2138,8046,,62.0,880726000,201968000,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,834.0,864.0
Universidad Catolica del Maule,2018,163.0,56.0,411.21,146.59,27.86,893.0,45,,385,430,8326,2278,8880,,85.0,733628000,2000000,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,769.0,843.0
Universidad Catolica del Maule,2019,171.0,60.0,443.38,156.02,31.36,1029.0,52,,463,515,9094,2706,9782,4.0,108.0,1165435000,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,816.0,845.0
Universidad Catolica del Maule,2020,212.0,96.0,487.95,160.96,52.07,1094.0,64,,356,420,10095,2574,10673,5.0,62.0,1330673000,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,557.0,590.0
Universidad Catolica del Maule,2021,265.0,114.0,531.36,229.13,60.37,1171.0,54,,228,282,10727,2376,11312,8.0,76.0,1996200000,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.0,920.0
Universidad Catolica del Maule,2022,281.0,115.0,596.23,240.04,57.95,1361.0,48,,299,347,11494,2578,11955,10.0,73.0,3244433000,199960000,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1642.0,1738.0
Universidad Catolica del Maule,2023,321.0,143.0,678.69,279.57,68.49,1550.0,67,,264,331,12017,2761,12490,13.0,119.0,2981026000,400000000,,26,,,,,,,,,,,,,,,,,,,,,,,101–125,,,,36.1,,81.6,,36.3,,36.7,,26.0,,29.0,1616.0,1732.0
Universidad Catolica del Maule,2024,325.0,145.0,671.88,277.66,70.79,1587.0,97,10891.0,372,469,12696,3340,13564,13.0,168.0,7152753000,,3.0,30,40.8,,31.1,,4.4,,,,,,,22.3,,25.8,,66.5,,9.9,,7.8,,21.1,96,1501+,36.7,,16.4,15.8,55.0,57.5,43.1,13.4,47.7,19.3,22.8,13.4,33.0,1632.0,1714.0
Universidad Catolica del Maule,2025,347.0,156.0,753.81,309.59,80.08,1800.0,124,11931.0,321,445,13284,3352,13968,10.0,158.0,4261762000,484899000,2.0,32,,,55.3,,14.9,,,,31.6,,,,,23.1,,80.1,,13.5,,8.9,,22.3,,1501+,,,,16.4,,54.8,,14.9,,22.9,,13.2,33.0,1597.0,1706.0
Universidad Catolica del Maule,2026,,,,,,,149,12490.0,344,493,13810,3426,14532,,,3211171000,,1.0,23,25.0,,65.2,,21.0,,,,,,,27.3,,27.6,,88.6,,15.5,,11.6,,20.4,=57,1501+,25.3,,17.8,17.8,54.6,54.6,20.3,15.8,36.2,26.0,18.5,16.1,,,
Universidad Catolica del Norte,2015,214.0,70.0,553.11,197.59,53.8,923.0,61,,450,511,10214,3256,11750,14.0,187.0,2278761000,303648000,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1040.0,1152.0
Universidad Catolica del Norte,2016,212.0,65.0,570.45,197.82,51.34,997.0,61,,335,396,10407,2613,11411,6.0,132.0,2915309000,541513000,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,863.0,987.0
Universidad Catolica del Norte,2017,218.0,77.0,593.09,209.61,57.39,1016.0,91,,372,463,10643,2528,11603,18.0,214.0,2800253000,572736000,,38,,,,,,,,,,,,,,,,,,,,,,,41–45,,,,38.3,,74.1,,44.2,,65.4,,29.3,,16.0,1024.0,1138.0
Universidad Catolica del Norte,2018,237.0,77.0,635.53,218.44,55.84,1154.0,114,11187.0,358,472,10837,2586,11535,14.0,164.0,2459478000,199995000,1.0,36,,,,,,,,,,,,,,,,,,,,,,20.2,81–90,801–1000,,,37.1,33.2,75.1,51.1,35.3,11.7,54.8,12.5,30.4,16.3,17.0,976.0,1040.0
Universidad Catolica del Norte,2019,247.0,77.0,655.87,223.38,53.97,1246.0,97,11669.0,361,458,11124,2462,11638,17.0,163.0,3154861000,753698000,2.0,38,,,,,,,,,,,,,,,,,,,,,,20.5,61–70,1001+,,,40.8,34.5,78.0,52.1,58.1,11.0,55.7,16.6,22.2,13.5,18.0,1031.0,1084.0
Universidad Catolica del Norte,2020,261.0,88.0,539.08,229.27,60.32,1044.0,90,11871.0,197,287,10634,2219,11016,10.0,65.0,2337387000,221988000,2.0,25,,,,,,,,,,,,,,,,,,,,,,19.6,85,1001+,39.5,,38.6,35.6,79.6,52.9,42.6,14.2,60.7,18.9,16.5,14.8,12.0,946.0,974.0
Universidad Catolica del Norte,2021,268.0,90.0,562.37,233.77,55.97,1139.0,83,11567.0,331,414,10903,2207,11476,17.0,154.0,4246187500,1365147000,2.0,34,,,,,,,,,,,,,,,,,,,,,,20.0,96,1001+,38.7,,37.4,34.3,81.7,54.1,37.9,12.3,63.0,23.7,17.1,14.6,12.0,1360.0,1380.0
Universidad Catolica del Norte,2022,282.0,73.0,545.61,245.7,53.83,1094.0,103,11359.0,311,414,10748,2353,11292,14.0,140.0,4322653000,798680000,2.0,34,,,,,,,,,,,,,,,,,,,,,,17.3,61,1201+,50.9,,41.7,34.9,84.9,54.4,57.4,12.4,72.5,25.4,26.3,15.1,16.0,1412.0,1434.0
Universidad Catolica del Norte,2023,296.0,100.0,591.97,260.06,71.87,1241.0,113,11343.0,384,497,10818,2911,11504,19.0,136.0,9188508000,1667830000,3.0,57,,,,,,,,,,,,,,,,,,,,,,20.4,67,1201–1500,47.5,,42.5,38.2,84.0,57.1,52.8,17.0,63.1,27.4,26.5,14.3,26.0,1599.0,1619.0
Universidad Catolica del Norte,2024,329.0,116.0,618.82,290.72,80.37,1347.0,89,11528.0,273,362,11138,2893,11704,26.0,196.0,12842615964,1186675180,3.0,53,36.7,13.8,79.7,5.8,64.3,,4.1,2.8,,,38.7,36.5,7.0,21.8,4.4,89.7,4.9,21.2,3.4,13.8,1.2,20.3,=88,1501+,38.5,,25.1,18.2,60.2,58.0,42.7,15.2,55.1,29.0,21.9,14.2,23.0,1682.0,1693.0
Universidad Catolica del Norte,2025,309.0,132.0,584.99,279.33,94.5,1222.0,111,11660.0,359,470,11645,3016,12329,13.0,177.0,8109383000,2038469000,4.0,52,,13.5,92.3,5.9,71.8,,2.0,3.8,48.8,,42.3,,6.7,20.1,46.2,91.6,4.5,25.7,2.3,16.6,8.5,21.4,,1501+,,,,25.1,,59.5,,15.2,,30.4,,13.7,18.0,1586.0,1606.0
Universidad Catolica del Norte,2026,,,,,,,130,11793.0,383,513,12139,3173,13004,,,1989944000,227700000,4.0,15,32.8,21.9,87.1,9.3,63.9,6.5,2.5,8.5,,,43.0,47.0,10.9,24.7,45.0,93.5,5.7,27.1,5.0,23.0,53.0,19.9,53,1501+,25.8,,19.9,19.9,61.0,61.0,18.2,14.9,41.0,33.8,17.6,14.7,,,
Universidad Catolica del Norte,2027,,,,,,,,,,,,,,,,,,,,,19.4,,9.2,,,4.0,7.6,,,,,11.0,,47.1,,5.9,,3.5,,47.5,,,,,,,,,,,,,,,,,,
Universidad Central de Chile,2015,121.0,26.0,439.59,50.64,10.16,1202.0,,,577,577,12492,3603,13381,1.0,160.0,210536000,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.0,2182.0
Universidad Central de Chile,2016,114.0,26.0,424.07,48.41,11.2,1179.0,,,533,533,11842,3378,12769,,173.0,597256000,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258.0,2479.0
Universidad Central de Chile,2017,163.0,40.0,485.77,84.25,19.23,1248.0,,,652,652,12240,3930,13268,,258.0,557409000,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2469.0,2785.0
Universidad Central de Chile,2018,167.0,36.0,500.77,90.5,17.84,1226.0,,,912,912,12426,4066,13612,,272.0,569572000,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0,2410.0
Universidad Central de Chile,2019,146.0,20.0,494.09,80.32,10.11,1223.0,,,1173,1173,12764,4503,14271,,413.0,421308000,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610.0,1906.0
Universidad Central de Chile,2020,161.0,32.0,485.59,93.7,13.61,1128.0,,,1438,1438,11748,3533,13389,,339.0,990652000,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511.0,1956.0
Universidad Central de Chile,2021,150.0,35.0,482.02,98.68,17.05,1057.0,3,,1926,1929,11827,4000,13993,,529.0,1720496000,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1894.0,2147.0
Universidad Central de Chile,2022,165.0,33.0,510.61,109.8,18.32,1098.0,3,,2065,2068,11994,3885,14253,,604.0,864739000,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.0,1972.0
Universidad Central de Chile,2023,186.0,34.0,558.64,129.57,19.68,1180.0,9,,1622,1631,12633,3466,14349,,813.0,1495402000,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199.0,2712.0
Universidad Central de Chile,2024,239.0,42.0,616.48,168.61,30.0,1239.0,15,,1764,1779,13562,4355,15535,,669.0,1491561000,,,14,13.2,4.2,11.7,1.7,71.5,,4.1,1.9,,,,10.6,3.2,8.5,1.0,28.6,4.8,20.7,3.2,14.7,1.0,,,,,,,,,,,,,,,,,2004.0,2293.0
Universidad Central de Chile,2025,242.0,47.0,661.98,177.77,34.32,1307.0,20,,2068,2088,14877,4854,17338,,694.0,1607639000,236392000,,10,,4.6,19.6,1.7,81.8,,2.0,1.8,18.5,,,,3.0,9.1,9.4,29.5,4.4,25.5,2.4,17.5,1.0,,,,,,,,,,,,,,,,,1908.0,2185.0
Universidad Central de Chile,2026,,,,,,,27,,2107,2134,16538,5213,19384,,,1029400000,,,10,13.9,,17.3,,68.8,,,,,,,20.4,,11.1,,43.2,,25.2,,21.0,,,,,,,,,,,,,,,,,,,
Universidad Diego Portales,2015,312.0,118.0,681.47,185.18,57.88,1969.0,35,,1844,1879,14391,3826,17826,1.0,372.0,1880825000,6000000,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2037.0,2045.0
Universidad Diego Portales,2016,317.0,127.0,653.39,194.47,58.49,2051.0,46,,1901,1947,14822,4076,18600,1.0,349.0,1400453000,52000000,,30,,,,,,,,,,,,,,,,,,,,,,,36–40,,,,33.8,,52.8,,22.1,,62.4,,28.4,,19.0,1731.0,1753.0
Universidad Diego Portales,2017,306.0,110.0,716.1,196.73,57.78,1965.0,64,15868.0,2037,2101,15407,3930,19125,3.0,456.0,3248244000,4000000,2.0,44,,,,,,,,,,,,,,,,,,,,,,14.2,36–40,601-800,,,35.0,32.8,72.8,48.6,43.1,8.5,98.0,52.2,24.7,11.8,45.0,1974.0,1986.0
Universidad Diego Portales,2018,342.0,127.0,666.69,193.51,61.35,2055.0,83,16348.0,1566,1649,15805,4143,18864,5.0,414.0,2994798000,26000000,2.0,38,,,,,,,,,,,,,,,,,,,,,,14.4,51–60,501–600,,,35.3,31.8,71.9,47.7,44.1,8.7,99.9,74.7,24.7,15.7,34.0,1946.0,1946.0
Universidad Diego Portales,2019,333.0,110.0,622.72,191.77,53.95,1952.0,92,16802.0,1303,1395,16266,4362,19011,2.0,346.0,3330991000,200466000,2.0,42,,,,,,,,,,,,,,,,,,,,,,14.6,51–60,401–500,,,36.5,34.0,72.9,51.2,46.9,10.3,99.9,90.1,20.1,13.2,33.0,1799.0,1799.0
Universidad Diego Portales,2020,351.0,135.0,748.38,209.27,69.82,1984.0,94,17287.0,1265,1359,16269,3872,18735,12.0,276.0,1864606000,,2.0,24,,,,,,,,,,,,,,,,,,,,,,14.9,59,401–500,48.8,,35.5,34.4,70.9,50.4,45.5,10.5,100.0,95.3,19.9,14.7,45.0,1439.0,1498.0
Universidad Diego Portales,2021,399.0,135.0,731.86,231.09,59.53,2005.0,104,17234.0,1168,1272,16759,4011,19885,9.0,302.0,1802736000,60000000,2.0,22,,,,,,,,,,,,,,,,,,,,,,14.7,=56,401–500,51.4,,36.9,33.4,74.3,50.8,41.1,10.5,99.4,96.4,30.7,15.4,30.0,2840.0,2939.0
Universidad Diego Portales,2022,421.0,148.0,727.8,239.77,60.07,2091.0,126,17649.0,1052,1178,16318,4072,19431,11.0,402.0,3386846000,230000000,2.0,36,,,,,,,,,,,,,,,,,,,,,,15.5,55,501–600,53.6,,34.9,34.8,77.0,51.4,44.0,11.0,98.2,86.2,34.2,15.6,50.0,2552.0,2673.0
Universidad Diego Portales,2023,440.0,207.0,888.0,268.36,82.33,2498.0,138,17613.0,1164,1302,16881,5154,20762,24.0,437.0,5850486000,199479000,2.0,51,,,,,,,,,,,,,,,,,,,,,,16.0,58,801–1000,51.8,,36.1,36.9,75.1,52.1,41.0,11.1,95.5,69.5,34.0,15.4,59.0,2461.0,2512.0
Universidad Diego Portales,2024,449.0,245.0,1002.62,277.97,104.83,2723.0,135,18126.0,1451,1586,17280,5338,21520,24.0,716.0,4043906815,562991815,2.0,45,19.8,14.3,33.7,4.7,100.0,,8.4,3.1,,,61.3,17.7,8.6,24.6,2.8,84.1,15.0,56.9,22.2,72.6,1.2,17.6,91,1001–1200,38.2,,18.4,18.0,54.6,53.0,34.3,11.8,58.3,53.8,29.3,15.3,58.0,2814.0,2870.0
Universidad Diego Portales,2025,469.0,241.0,926.03,283.96,91.31,2767.0,145,17863.0,1439,1584,18159,5308,22187,15.0,908.0,21466416000,237261000,3.0,39,,13.1,45.0,3.7,97.4,,6.2,2.9,29.1,,66.1,,8.6,25.1,39.6,86.8,14.7,66.4,14.9,79.0,2.3,16.5,,1201–1500,,,,18.4,,54.3,,11.9,,53.8,,15.8,73.0,2656.0,2710.0
Universidad Diego Portales,2026,,,,,,,162,18505.0,1449,1611,19268,5863,22987,,,3995855000,,3.0,34,14.4,17.5,46.0,5.5,87.3,4.9,8.8,6.3,,,64.6,34.8,11.9,24.2,37.1,88.9,19.0,64.9,25.8,79.2,36.4,17.1,=55,1201–1500,25.5,,19.2,19.2,54.1,54.1,14.5,12.2,46.3,57.4,18.7,16.1,,,
Universidad Diego Portales,2027,,,,,,,,,,,,,,,,,,,,,15.3,,4.5,,,8.8,6.2,,,,,9.1,,32.1,,17.7,,18.4,,44.5,,,,,,,,,,,,,,,,,,
Universidad Finis Terrae,2015,80.0,48.0,352.41,35.36,12.09,1320.0,,,770,770,6114,2371,7499,,244.0,383405000,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,616.0,663.0
Universidad Finis Terrae,2016,90.0,65.0,416.62,38.21,16.2,1675.0,,,1199,1199,6839,2429,8426,,236.0,105460000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,652.0,718.0
Universidad Finis Terrae,2017,98.0,52.0,387.67,45.56,17.97,1276.0,,,1528,1528,7161,2346,9092,,200.0,186414000,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,879.0,880.0
Universidad Finis Terrae,2018,111.0,48.0,384.01,51.86,18.06,1119.0,,,1425,1425,7412,2439,9111,,416.0,53928000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,639.0,643.0
Universidad Finis Terrae,2019,127.0,43.0,472.63,69.58,19.0,1177.0,,,1403,1403,7786,2516,9683,,348.0,315604000,,,3,,,,,,,,,,,,,,,,,,,,,,,101+,,,,36.7,,51.7,,11.0,,32.3,,21.6,,20.0,905.0,923.0
Universidad Finis Terrae,2020,145.0,74.0,474.59,66.4,24.73,1369.0,,,1114,1114,8040,2257,9515,,448.0,371491000,,,4,,,,,,,,,,,,,,,,,,,,,,,126+,,,,35.6,,49.9,,11.0,,26.8,,21.6,,17.0,719.0,742.0
Universidad Finis Terrae,2021,164.0,63.0,458.85,75.1,26.41,1222.0,,,1006,1006,8475,2961,10310,,392.0,273403000,,,2,,,,,,,,,,,,,,,,,,,,,,,151+,,,,37.0,,55.7,,10.9,,25.5,,22.0,,49.0,1161.0,1161.0
Universidad Finis Terrae,2022,169.0,74.0,491.09,94.32,30.63,1073.0,3,9683.0,1165,1168,8500,2882,10420,,633.0,473528000,,2.0,6,,,,,,,,,,,,,,,,,,,,,,8.2,151+,Reporter,,,35.0,,59.6,,11.0,,49.5,,22.9,,46.0,1054.0,1054.0
Universidad Finis Terrae,2023,182.0,71.0,500.37,112.39,32.52,1140.0,9,,795,804,8634,2867,10227,,535.0,1137668000,,,11,,,,,,,,,,,,,,,,,,,,,,,101–125,,,,36.2,,60.7,,11.8,,93.5,,20.1,,56.0,1072.0,1073.0
Universidad Finis Terrae,2024,219.0,92.0,523.64,117.78,37.62,1244.0,15,10313.0,775,790,8809,2656,10243,,490.0,730025000,,2.0,9,8.9,,15.4,,2.9,,,,,,,11.7,,23.2,,10.9,,9.4,,9.0,,8.4,151+,Reporter,,,15.8,,46.7,,12.4,,29.5,,22.5,,50.0,1008.0,1008.0
Universidad Finis Terrae,2025,219.0,69.0,464.59,115.58,30.29,1069.0,17,10420.0,731,748,9022,2638,10468,,346.0,1838328000,,3.0,9,,,24.5,,16.4,,,,20.9,,,,,22.9,,16.5,,12.8,,14.1,,9.7,,Reporter,,,,,,,,,,,,,99.0,1124.0,1124.0
Universidad Finis Terrae,2026,,,,,,,27,10227.0,646,673,9307,2606,10547,,,1447578000,227000000,4.0,10,10.3,,24.0,,10.6,,,,,,,1.0,,22.4,,33.7,,17.4,,13.4,,9.0,101–125,Reporter,,,16.2,,47.9,,10.6,,18.2,,22.7,,,,
Universidad Gabriela Mistral,2015,20.0,13.0,61.87,6.89,4.39,298.0,,,49,49,1064,113,1141,,47.0,45681000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0,472.0
Universidad Gabriela Mistral,2016,21.0,10.0,56.9,12.15,4.67,229.0,,,55,55,927,114,1017,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0,383.0
Universidad Gabriela Mistral,2017,18.0,11.0,83.46,10.73,3.01,367.0,,,24,24,2010,567,2048,,26.0,43787000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0,286.0
Universidad Gabriela Mistral,2018,26.0,12.0,93.1,13.23,6.02,321.0,,,175,175,2027,776,2202,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,626.0
Universidad Gabriela Mistral,2019,17.0,8.0,73.06,5.64,2.44,275.0,,,142,142,1396,213,1538,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,553.0
Universidad Gabriela Mistral,2020,9.0,2.0,41.43,2.48,1.11,205.0,,,,,959,151,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,368.0
Universidad Gabriela Mistral,2021,21.0,13.0,59.84,7.4,6.6,246.0,,,72,72,1193,260,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,301.0
Universidad Gabriela Mistral,2022,36.0,24.0,68.3,8.27,6.6,277.0,,,118,118,1812,323,1981,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,273.0
Universidad Gabriela Mistral,2023,50.0,42.0,97.59,12.04,8.82,394.0,,,244,244,2655,507,2939,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,272.0
Universidad Gabriela Mistral,2024,80.0,46.0,166.36,22.3,13.36,529.0,,,218,218,3630,551,3948,,89.0,87395000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,339.0
Universidad Gabriela Mistral,2025,113.0,61.0,192.76,32.21,13.27,657.0,,,174,174,4297,313,4687,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,673.0
Universidad Gabriela Mistral,2026,,,,,,,,,209,209,4663,284,5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad La Republica,2015,24.0,4.0,301.89,6.43,2.39,625.0,9,,149,158,4275,1198,4583,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.0,521.0
Universidad La Republica,2016,23.0,7.0,174.73,10.48,2.73,682.0,,,176,176,4738,1252,5026,1.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.0,962.0
Universidad La Republica,2017,12.0,7.0,158.16,2.7,1.86,703.0,,,502,502,4848,1907,5475,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.0,1106.0
Universidad La Republica,2018,16.0,9.0,171.34,3.2,2.34,698.0,,,351,351,4818,1888,5227,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.0,1620.0
Universidad La Republica,2019,15.0,10.0,136.52,4.14,2.8,553.0,,,211,211,3789,1109,4026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad La Republica,2020,18.0,10.0,99.17,4.02,2.98,511.0,,,49,49,3242,1083,3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad La Republica,2021,,,,,,,,,5,5,3051,1315,3056,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,134.0
Universidad La Republica,2022,12.0,6.0,48.49,1.48,0.84,335.0,,,6,6,2218,14,2226,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,722.0
Universidad La Republica,2023,8.0,7.0,43.91,1.64,0.75,246.0,,,11,11,1548,70,1561,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,597.0
Universidad La Republica,2024,5.0,4.0,23.71,1.47,0.42,146.0,,,2,2,1084,,1086,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,394.0
Universidad La Republica,2025,5.0,4.0,23.71,1.47,0.42,146.0,,,2,2,526,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Los Leones,2015,,5.0,52.64,,1.07,232.0,11,,,11,2124,1091,2135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,204.0
Universidad Los Leones,2016,,4.0,49.58,,0.45,222.0,,,,,1973,872,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.0,352.0
Universidad Los Leones,2017,,,28.49,,,145.0,,,,,1995,801,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.0,543.0
Universidad Los Leones,2018,5.0,1.0,43.53,0.49,0.07,172.0,,,,,3915,1635,3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.0,616.0
Universidad Los Leones,2019,6.0,2.0,33.52,1.05,0.48,147.0,,,,,3297,197,3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934.0,1934.0
Universidad Los Leones,2020,3.0,2.0,16.48,0.45,0.18,54.0,,,,,1243,18,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0,713.0
Universidad Los Leones,2021,1.0,1.0,9.68,0.07,0.07,33.0,,,,,827,140,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,247.0
Universidad Los Leones,2022,1.0,1.0,5.25,0.2,0.2,20.0,,,,,226,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,219.0
Universidad Los Leones,2023,1.0,,3.43,0.2,,12.0,,,,,39,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,76.0
Universidad Los Leones,2024,,,2.3,,,5.0,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
Universidad Los Leones,2025,,,2.05,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Mayor,2015,120.0,108.0,1033.5,54.9,35.23,3083.0,9,,2953,2962,18346,6075,22549,,938.0,942195000,24000000,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,2222.0,2229.0
Universidad Mayor,2016,102.0,102.0,1315.66,60.48,53.31,2969.0,13,,3297,3310,18787,5778,23465,,888.0,793403000,89443000,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,2749.0,2753.0
Universidad Mayor,2017,116.0,110.0,1377.99,72.76,52.12,2964.0,16,,3364,3380,18438,5345,23105,,1058.0,931786000,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,2328.0,2328.0
Universidad Mayor,2018,259.0,119.0,1021.21,200.55,59.37,2735.0,23,,2747,2770,17733,4669,21634,1.0,1009.0,2190506000,182710000,,26,,,,,,,,,,,,,,,,,,,,,,,101+,,,,35.4,,52.6,,22.0,,22.4,,35.8,,73.0,2019.0,2023.0
Universidad Mayor,2019,290.0,88.0,1001.29,221.42,53.48,2450.0,45,,2856,2901,17736,4906,21584,3.0,1224.0,4772865000,398029000,,39,,,,,,,,,,,,,,,,,,,,,,,101+,,,,36.9,,53.5,,9.7,,29.0,,21.7,,118.0,2823.0,2827.0
