universidad,anio,academicos_doctorado,academicos_extranjeros,academicos_jce,academicos_jce_doctorado,academicos_jce_extranjeros,academicos_total,estudiantes_doctorado,estudiantes_fte,estudiantes_magister,estudiantes_posgrado,estudiantes_pregrado,estudiantes_primer_anio,estudiantes_total,graduados_doctorado,graduados_magister,montos_anid_adjudicados,montos_anid_con_industria,pct_estudiantes_extranjeros,proyectos_anid_adjudicados,qs_puntaje_academicos_con_doctorado_latam,qs_puntaje_academicos_internacionales_global,qs_puntaje_articulos_por_academico_latam,qs_puntaje_citas_por_academico_global,qs_puntaje_citas_por_articulo_latam,qs_puntaje_diversidad_internacional_global,qs_puntaje_empleabilidad_global,qs_puntaje_estudiantes_internacionales_global,qs_puntaje_estudiantes_internacionales_latam,qs_puntaje_global_global,qs_puntaje_global_latam,qs_puntaje_impacto_web_latam,qs_puntaje_ratio_academicos_global,qs_puntaje_ratio_academicos_latam,qs_puntaje_red_internacional_global,qs_puntaje_red_internacional_latam,qs_puntaje_reputacion_academica_global,qs_puntaje_reputacion_academica_latam,qs_puntaje_reputacion_empleadores_global,qs_puntaje_reputacion_empleadores_latam,qs_puntaje_sostenibilidad_global,ratio_estudiantes_academico,the_posicion_latam,the_posicion_wur,the_puntaje_global_latam,the_puntaje_global_wur,the_puntaje_industry_latam,the_puntaje_industry_wur,the_puntaje_international_outlook_latam,the_puntaje_international_outlook_wur,the_puntaje_research_environment_latam,the_puntaje_research_environment_wur,the_puntaje_research_quality_latam,the_puntaje_research_quality_wur,the_puntaje_teaching_latam,the_puntaje_teaching_wur,titulados_especialidad_medica,titulados_pregrado,titulados_pregrado_total
Universidad Austral de Chile,2022,555.0,97.0,982.66,542.07,92.5,1121.0,187,16886.0,370,557,17587,3483,18281,26.0,148.0,9818984000,197620000,2.0,76,,,,,,,,,,,,,,,,,,,,,,17.8,=28,1201+,64.7,,74.9,45.8,73.1,51.7,70.9,13.8,68.1,24.9,54.6,16.3,37.0,1794.0,1889.0
Universidad Austral de Chile,2023,558.0,98.0,973.68,546.68,95.0,1099.0,198,17434.0,433,631,17659,3784,18515,19.0,66.0,10983075000,598880000,1.0,80,,,,,,,,,,,,,,,,,,,,,,17.5,=45,1201–1500,58.5,,73.6,44.4,67.9,51.4,63.3,14.4,62.6,24.0,48.8,16.5,36.0,2260.0,2368.0
Universidad Austral de Chile,2024,499.0,84.0,868.93,487.77,81.5,1004.0,209,18594.0,436,645,17415,4057,18284,36.0,185.0,10041578780,670954780,1.0,65,88.8,16.0,95.4,6.6,27.1,,4.7,1.9,,,60.2,43.0,3.5,10.2,7.6,94.1,15.6,58.6,10.7,47.5,2.2,16.4,58,1201–1500,46.1,,32.5,30.9,53.7,51.4,53.2,14.7,56.2,30.2,33.5,17.3,43.0,2589.0,2679.0
Universidad Austral de Chile,2025,457.0,74.0,783.56,448.49,70.78,901.0,198,18994.0,558,756,17200,4141,18125,44.0,221.0,17544887000,734869000,1.0,63,,15.6,99.1,7.3,51.8,,3.5,1.6,57.5,,65.8,,3.1,8.9,45.4,91.1,13.9,64.3,8.0,54.3,5.6,18.5,,1501+,,,,32.6,,53.4,,15.3,,29.1,,15.6,37.0,2446.0,2529.0
Universidad Austral de Chile,2026,,,,,,,178,18781.0,610,788,17531,4179,18516,,,8082310000,910342000,1.0,47,85.0,20.5,99.3,14.3,49.8,6.8,4.8,2.5,,,67.2,59.4,4.1,9.1,45.8,93.9,19.3,65.5,15.4,59.5,44.0,19.1,41,1501+,26.8,,41.8,41.8,52.4,52.4,19.9,17.2,39.6,29.2,19.0,15.6,,,
Universidad Austral de Chile,2027,,,,,,,,,,,,,,,,,,,,,23.0,,16.3,,,5.5,2.7,,,,,2.3,,48.6,,18.3,,12.1,,45.7,,,,,,,,,,,,,,,,,,
Universidad Autonoma de Chile,2015,148.0,81.0,839.02,99.5,53.18,1771.0,2,,252,254,20229,4346,20563,,43.0,2232942000,149604000,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2759.0,2818.0
Universidad Autonoma de Chile,2016,170.0,77.0,857.93,113.57,53.3,1759.0,19,,219,238,21938,5426,22236,,37.0,1288155000,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2873.0,2947.0
Universidad Autonoma de Chile,2017,202.0,89.0,893.14,126.31,51.66,1942.0,15,,323,338,22941,5671,23347,,81.0,2181491000,332289000,,29,,,,,,,,,,,,,,,,,,,,,,,61–70,,,,34.8,,65.4,,22.7,,39.7,,36.3,,22.0,2895.0,2935.0
Universidad Autonoma de Chile,2018,292.0,100.0,1056.31,193.24,60.24,2182.0,15,,447,462,23967,5618,24659,10.0,139.0,1965990000,,,22,,,,,,,,,,,,,,,,,,,,,,,81–90,,,,35.3,,58.7,,28.6,,56.2,,39.5,,32.0,2867.0,2934.0
Universidad Autonoma de Chile,2019,333.0,101.0,1142.93,246.17,70.26,2160.0,14,,408,422,25605,6494,26966,2.0,220.0,1934579000,,,28,,,,,,,,,,,,,,,,,,,,,,,71–80,,,,36.5,,66.0,,31.4,,98.5,,23.1,,37.0,2882.0,2943.0
Universidad Autonoma de Chile,2020,378.0,87.0,1200.36,273.76,38.9,2380.0,4,23312.0,379,383,26992,6022,27707,5.0,152.0,2360336000,,1.0,21,,,,,,,,,,,,,,,,,,,,,,26.2,61,501–600,47.5,,35.5,34.4,64.0,50.7,41.1,8.9,99.0,81.6,22.4,12.3,5.0,2013.0,2063.0
Universidad Autonoma de Chile,2021,377.0,129.0,1191.93,281.43,87.2,1924.0,19,24541.0,527,546,29641,6287,30622,4.0,166.0,2401273000,,1.0,18,,,,,,,,,,,,,,,,,,,,,,23.2,53,501–600,52.4,,36.9,33.4,67.2,50.8,51.0,9.1,100.0,84.9,25.4,13.4,68.0,4185.0,4224.0
Universidad Autonoma de Chile,2022,362.0,156.0,1087.82,274.94,91.36,2222.0,11,27027.0,443,454,29741,7226,31349,,174.0,7456559000,395867000,1.0,32,,,,,,,,,,,,,,,,,,,,,,23.7,57,501–600,52.2,,34.9,34.8,59.8,51.7,51.0,9.8,98.6,96.7,27.2,13.4,13.0,4077.0,4091.0
Universidad Autonoma de Chile,2023,455.0,160.0,1228.14,378.56,106.94,2266.0,41,27474.0,490,531,29705,7766,31735,3.0,443.0,4758396000,1461158000,1.0,35,,,,,,,,,,,,,,,,,,,,,,22.9,=52,801–1000,54.2,,36.1,36.9,71.2,49.7,50.9,10.2,97.9,72.4,30.6,13.2,103.0,4245.0,4272.0
Universidad Autonoma de Chile,2024,479.0,159.0,1312.74,451.98,116.4,2299.0,49,30336.0,494,543,29889,8551,32279,7.0,107.0,3785627000,262000000,1.0,27,24.2,11.1,31.6,2.9,82.5,,8.5,1.4,,,33.4,23.9,4.9,10.7,1.9,77.6,5.5,23.6,2.2,10.1,1.7,25.5,53,1001–1200,48.0,,19.1,16.1,56.1,55.4,58.3,12.2,57.0,54.5,34.5,12.5,95.0,4066.0,4080.0
Universidad Autonoma de Chile,2025,544.0,181.0,1339.02,456.73,117.93,2514.0,58,30323.0,1347,1405,31355,9454,41899,2.0,242.0,6533607000,1027580000,1.0,41,,12.4,48.7,3.1,94.2,,2.1,1.4,38.2,,39.7,,4.2,12.4,32.6,79.3,5.3,30.3,2.0,13.9,2.8,27.9,,1201–1500,,,,19.2,,55.7,,14.2,,44.0,,12.5,113.0,3530.0,3552.0
Universidad Autonoma de Chile,2026,,,,,,,72,30410.0,1748,1820,32686,8557,42311,,,1741905000,227700000,1.0,16,23.9,15.6,48.9,6.2,93.5,1.5,2.5,1.7,,,43.3,36.9,6.2,13.5,38.9,90.2,7.9,34.5,4.7,22.0,35.9,26.8,=78,1501+,23.3,,20.7,20.7,55.5,55.5,15.3,13.3,36.5,39.9,16.7,13.0,,,
Universidad Bernardo O'Higgins,2015,83.0,17.0,211.14,38.05,8.75,516.0,,,45,45,4875,1238,4920,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,663.0
Universidad Bernardo O'Higgins,2016,82.0,15.0,283.36,42.96,8.86,544.0,,,207,207,5358,1400,5565,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.0,730.0
Universidad Bernardo O'Higgins,2017,97.0,16.0,313.23,54.5,8.8,609.0,,,343,343,5642,1436,5985,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,413.0
Universidad Bernardo O'Higgins,2018,126.0,15.0,365.89,68.73,12.09,662.0,7,,574,581,6205,1648,6825,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,554.0
Universidad Bernardo O'Higgins,2019,145.0,35.0,385.64,86.18,15.25,638.0,14,,749,763,6132,1287,6977,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101+,,,,36.8,,52.9,,13.7,,13.5,,14.0,,,769.0,813.0
Universidad Bernardo O'Higgins,2020,137.0,35.0,333.0,99.98,22.84,603.0,19,,1051,1070,6290,1327,7385,1.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,126+,,,,36.6,,52.4,,16.3,,26.3,,14.2,,,531.0,564.0
Universidad Bernardo O'Higgins,2021,159.0,49.0,385.52,128.61,37.66,631.0,23,,1240,1263,7327,1589,8667,3.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,151+,,,,38.9,,57.7,,19.6,,25.8,,17.3,,,1179.0,1192.0
Universidad Bernardo O'Higgins,2022,164.0,48.0,401.01,135.75,34.8,658.0,30,6984.0,1565,1595,7366,1623,9264,2.0,113.0,689750000,,2.0,2,,,,,,,,,,,,,,,,,,,,,,18.1,151+,Reporter,,,42.4,,75.5,,18.9,,25.5,,18.9,,,1146.0,1171.0
Universidad Bernardo O'Higgins,2023,164.0,55.0,408.55,134.43,41.18,692.0,38,7554.0,1413,1451,7634,1546,9289,3.0,218.0,1473410000,400000000,4.0,11,,,,,,,,,,,,,,,,,,,,,,18.1,151+,Reporter,,,52.4,,84.2,,20.7,,35.2,,20.6,,,1372.0,1413.0
Universidad Bernardo O'Higgins,2024,160.0,56.0,375.89,125.11,37.52,715.0,41,9010.0,1478,1519,7092,1760,9023,1.0,266.0,539534000,,6.0,5,39.1,12.2,40.4,2.0,2.4,,8.3,2.0,,,,8.2,9.7,27.3,1.0,41.4,4.9,18.1,2.8,13.2,1.2,18.6,151+,1501+,,,22.3,20.9,53.2,54.0,19.2,10.3,27.5,10.7,19.9,13.9,,1166.0,1216.0
Universidad Bernardo O'Higgins,2025,155.0,41.0,370.64,118.59,33.11,749.0,48,9486.0,1007,1055,7565,1596,8858,3.0,265.0,1462803000,474263000,7.0,13,,13.3,58.8,2.0,11.5,,2.2,2.1,14.9,,,,9.9,27.9,13.1,40.8,4.6,26.3,4.3,33.2,1.0,18.8,,1501+,,,,22.3,,53.3,,10.5,,12.8,,13.8,,1147.0,1199.0
Universidad Bernardo O'Higgins,2026,,,,,,,51,9085.0,870,921,7745,1838,9226,,,1439380000,227700000,2.0,8,29.9,,63.2,,12.3,,,,,,,13.9,,26.8,,59.2,,24.8,,38.1,,17.7,126–150,1501+,,,22.6,22.6,48.6,48.6,12.2,10.8,14.6,13.1,16.8,14.6,,,
Universidad Catolica Cardenal Raul Silva Henriquez,2015,57.0,16.0,230.22,36.59,5.82,571.0,,,136,136,5415,1539,5995,,45.0,216568000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.0,854.0
Universidad Catolica Cardenal Raul Silva Henriquez,2016,57.0,16.0,238.42,38.69,6.6,578.0,,,138,138,5817,1922,6246,,35.0,40189000,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.0,361.0
Universidad Catolica Cardenal Raul Silva Henriquez,2017,75.0,19.0,254.3,53.84,8.8,617.0,,,153,153,6289,1926,6675,,54.0,208183000,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.0,729.0
Universidad Catolica Cardenal Raul Silva Henriquez,2018,88.0,20.0,277.8,54.61,8.8,681.0,8,,149,157,6630,2064,7026,,60.0,116711000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.0,765.0
Universidad Catolica Cardenal Raul Silva Henriquez,2019,87.0,20.0,288.11,57.08,9.07,711.0,6,,97,103,6888,1978,7177,,38.0,68415000,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.0,763.0
Universidad Catolica Cardenal Raul Silva Henriquez,2020,94.0,20.0,311.89,61.24,10.8,775.0,8,,27,35,7100,1692,7245,,23.0,377721000,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.0,1053.0
Universidad Catolica Cardenal Raul Silva Henriquez,2021,109.0,21.0,305.77,69.27,11.05,751.0,11,,46,57,6795,1110,6857,,39.0,388584000,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.0,1221.0
Universidad Catolica Cardenal Raul Silva Henriquez,2022,115.0,21.0,305.06,77.36,11.52,752.0,13,,46,59,6172,1169,6462,,16.0,808672000,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.0,1018.0
Universidad Catolica Cardenal Raul Silva Henriquez,2023,114.0,22.0,305.81,83.92,12.48,729.0,10,,44,54,6157,1525,6329,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.0,970.0
Universidad Catolica Cardenal Raul Silva Henriquez,2024,132.0,27.0,305.3,94.93,14.91,678.0,13,,52,65,5995,1432,6104,3.0,6.0,,,,,,,6.6,,1.3,,,,,,,6.5,,20.5,,6.3,,10.9,,11.1,,,,,,,,,,,,,,,,,,1134.0,1136.0
Universidad Catolica Cardenal Raul Silva Henriquez,2025,136.0,27.0,254.92,84.41,12.6,637.0,2,,17,19,5808,1492,5827,1.0,6.0,,,,,,,9.1,,5.2,,,,12.9,,,,,20.5,,5.2,,14.0,,11.9,,,,,,,,,,,,,,,,,,823.0,823.0
Universidad Catolica Cardenal Raul Silva Henriquez,2026,,,,,,,9,,39,48,6320,1617,6368,,,,,,,8.8,,17.8,,4.9,,,,,,,13.3,,18.5,,8.8,,13.5,,15.1,,,,,,,,,,,,,,,,,,,
Universidad Catolica de Temuco,2015,138.0,39.0,429.14,121.21,31.11,690.0,6,,162,168,8680,2929,9437,,83.0,1280456000,552921000,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.0,1084.0
Universidad Catolica de Temuco,2016,160.0,41.0,462.63,141.49,34.67,796.0,12,,267,279,10003,3260,10575,,49.0,1850840000,640453000,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.0,1326.0
Universidad Catolica de Temuco,2017,165.0,48.0,492.54,149.57,35.5,789.0,23,,350,373,10546,3361,11486,,54.0,1302645000,222950000,,17,,,,,,,,,,,,,,,,,,,,,,,71+,,,,39.3,,51.0,,24.3,,8.2,,21.6,,7.0,930.0,1475.0
Universidad Catolica de Temuco,2018,174.0,54.0,486.66,161.28,43.28,736.0,29,,241,270,11057,3027,11716,,72.0,1994934000,256797000,,24,,,,,,,,,,,,,,,,,,,,,,,101+,,,,41.2,,48.4,,24.5,,11.0,,19.4,,,972.0,1096.0
Universidad Catolica de Temuco,2019,184.0,57.0,515.45,169.26,46.21,785.0,41,,257,298,11336,2811,11851,3.0,69.0,1484687000,455478000,,19,,,,,,,,,,,,,,,,,,,,,,,101+,,,,42.5,,53.9,,29.9,,17.4,,19.6,,,1057.0,1387.0
Universidad Catolica de Temuco,2020,205.0,67.0,538.76,185.77,52.12,867.0,50,,269,319,11560,2714,12126,4.0,78.0,1726020000,30000000,,21,,,,,,,,,,,,,,,,,,,,,,,126+,,,,42.4,,57.1,,20.4,,24.3,,18.7,,,919.0,1165.0
Universidad Catolica de Temuco,2021,221.0,78.0,559.45,189.83,52.41,973.0,55,,296,351,11496,3144,12684,4.0,70.0,1767828000,829784000,,14,,,,,,,,,,,,,,,,,,,,,,,101–125,,,,42.7,,59.7,,42.0,,23.3,,20.1,,,1299.0,1494.0
Universidad Catolica de Temuco,2022,229.0,69.0,575.44,200.4,51.73,996.0,57,10329.0,267,324,11255,2844,12275,7.0,101.0,2631098000,429260000,1.0,23,,,,,,,,,,,,,,,,,,,,,,13.2,126–150,Reporter,,,42.4,,59.2,,30.4,,30.6,,27.7,,,1319.0,1565.0
Universidad Catolica de Temuco,2023,238.0,70.0,616.51,215.05,51.18,1060.0,61,10629.0,238,299,11326,3489,12478,14.0,93.0,2417333000,,1.0,21,,,,,,,,,,,,,,,,,,,,,,12.3,151+,1501+,,,41.6,38.3,59.3,41.5,21.7,10.1,26.9,7.9,26.5,16.0,,1473.0,1727.0
Universidad Catolica de Temuco,2024,252.0,77.0,657.72,225.4,53.45,1151.0,59,10775.0,209,268,11155,3037,11811,6.0,71.0,3006112290,286350290,0.0,26,64.3,36.3,93.0,4.6,5.4,,4.1,,,,,24.7,2.0,5.1,1.1,49.9,4.3,17.6,1.7,4.9,1.0,11.1,126–150,1501+,,,19.5,23.9,43.4,43.1,21.7,10.5,27.0,12.7,27.0,19.8,,1366.0,1608.0
Universidad Catolica de Temuco,2025,286.0,86.0,694.75,250.11,57.58,1223.0,70,10450.0,208,278,11426,2878,11804,11.0,55.0,4031908000,1293370000,0.0,26,,35.1,99.1,4.8,10.4,,2.0,,32.2,,,,2.0,5.7,14.3,44.1,4.1,23.9,1.4,7.2,1.1,10.5,,1501+,,,,19.5,,43.7,,10.5,,13.8,,20.8,,1367.0,1395.0
Universidad Catolica de Temuco,2026,,,,,,,86,10711.0,181,267,12156,3129,12592,,,3569198000,683100000,0.0,26,63.7,49.7,99.8,9.7,10.5,1.3,2.5,1.4,,,,26.3,2.7,5.8,21.9,71.8,5.4,25.9,2.5,11.2,26.7,10.1,101–125,1501+,,,18.8,18.8,45.1,45.1,13.0,11.0,20.9,14.8,22.7,21.6,,,
Universidad Catolica de la Santisima Concepcion,2015,141.0,31.0,446.2,117.68,17.23,1188.0,6,,576,582,12960,3818,14029,,120.0,525888000,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,1971.0
Universidad Catolica de la Santisima Concepcion,2016,150.0,33.0,581.02,131.07,19.91,1196.0,8,,559,567,13399,3895,14460,,130.0,941320000,2000000,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084.0,2395.0
Universidad Catolica de la Santisima Concepcion,2017,157.0,44.0,501.32,131.7,20.8,1357.0,16,,512,528,13589,4173,14609,,180.0,699396000,24000000,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1142.0,2601.0
Universidad Catolica de la Santisima Concepcion,2018,177.0,43.0,500.52,149.7,23.73,1212.0,22,,347,369,13640,4511,14250,,125.0,1548189000,199984000,,16,,,,,,,,,,,,,,,,,,,,,,,101+,,,,35.4,,46.2,,21.0,,53.2,,23.3,,5.0,966.0,2428.0
Universidad Catolica de la Santisima Concepcion,2019,212.0,52.0,567.57,177.39,29.18,1491.0,32,,341,373,14215,4736,14917,2.0,164.0,3110109000,202000000,,32,,,,,,,,,,,,,,,,,,,,,,,101+,,,,36.6,,50.4,,32.4,,40.0,,18.4,,12.0,956.0,2215.0
Universidad Catolica de la Santisima Concepcion,2020,217.0,55.0,593.61,182.55,26.73,1518.0,32,,277,309,14138,4154,14579,5.0,133.0,1915026000,200000000,,18,,,,,,,,,,,,,,,,,,,,,,,98,,36.8,,36.4,,52.5,,35.3,,66.5,,18.6,,12.0,772.0,1976.0
Universidad Catolica de la Santisima Concepcion,2021,247.0,60.0,610.34,201.45,30.02,1556.0,37,,353,390,14062,3892,14645,4.0,155.0,2404662000,30000000,,17,,,,,,,,,,,,,,,,,,,,,,,83,,42.1,,37.6,,59.1,,50.1,,64.1,,19.2,,13.0,1256.0,3015.0
Universidad Catolica de la Santisima Concepcion,2022,246.0,54.0,612.45,214.43,29.66,1548.0,45,9760.0,311,356,13497,4155,14345,2.0,165.0,4815957000,200000000,0.0,26,,,,,,,,,,,,,,,,,,,,,,24.5,91,Reporter,42.5,,38.9,,58.8,,47.4,,64.5,,22.5,,14.0,1548.0,2805.0
Universidad Catolica de la Santisima Concepcion,2023,239.0,54.0,604.23,203.59,28.84,1559.0,48,,372,420,13848,4482,14676,5.0,199.0,4127666000,1242676000,,30,,,,,,,,,,,,,,,,,,,,,,,=90,,41.8,,38.8,,59.5,,45.5,,58.8,,25.4,,14.0,1526.0,2812.0
Universidad Catolica de la Santisima Concepcion,2024,247.0,57.0,565.48,186.66,28.23,1511.0,65,9879.0,376,441,14992,5130,16052,14.0,148.0,3549897000,263700000,0.0,23,37.7,5.5,37.4,2.6,15.0,,4.1,1.1,,,,14.9,8.6,24.5,1.2,62.0,3.7,16.0,2.4,9.1,1.4,22.9,64,1501+,44.8,,17.1,16.9,49.0,48.9,55.7,14.9,49.5,22.9,34.0,13.2,13.0,1435.0,2623.0
Universidad Catolica de la Santisima Concepcion,2025,260.0,56.0,612.41,196.43,29.55,1519.0,78,9750.0,381,459,15668,5070,16576,14.0,191.0,4501214000,711789000,1.0,32,,5.2,61.6,2.8,35.4,,2.0,1.1,25.4,,,,8.2,24.1,28.3,73.5,3.4,20.0,2.1,15.1,1.2,22.5,,1501+,,,,17.1,,48.6,,21.0,,27.2,,14.0,16.0,1397.0,2614.0
Universidad Catolica de la Santisima Concepcion,2026,,,,,,,94,9954.0,428,522,17196,5545,18315,,,2364048000,455400000,1.0,17,31.3,,73.5,,43.1,,,,,,,24.8,,22.2,,86.0,,24.0,,17.5,,23.7,=75,1501+,23.9,,17.6,17.6,50.3,50.3,23.5,18.2,34.2,26.9,13.4,11.7,,,
Universidad Catolica del Maule,2015,120.0,21.0,378.59,109.25,13.2,742.0,10,,463,473,6592,1540,7112,,53.0,673260000,149996000,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.0,886.0
