"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Andersen F.; Iturmendi F.; Espinosa S.; Diaz M.S.","Andersen, F. (36863344700); Iturmendi, F. (36863882800); Espinosa, S. (7003678352); Diaz, M.S. (7402043930)","36863344700; 36863882800; 7003678352; 7402043930","Optimal design and planning of biodiesel supply chain with land competition","2012","Computers and Chemical Engineering","47","","","170","182","66","10.1016/j.compchemeng.2012.06.044","https://www.scopus.com/pages/publications/84869490968?origin=resultslist","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84869490968"
"Aguilera J.M.; Barbosa-Cánovas G.V.; Simpson R.; Welti-Chanes J.; Bermúdez-Aguirre D.","Aguilera, José Miguel (35605971400); Barbosa-Cánovas, Gustavo V. (7005248121); Simpson, Ricardo (56239119700); Welti-Chanes, Jorge (6603518453); Bermúdez-Aguirre, Daniela (10440106500)","35605971400; 7005248121; 56239119700; 6603518453; 10440106500","Preface","2011","Food Engineering Series","","","","v","vi","0","","https://www.scopus.com/pages/publications/85060596092?origin=resultslist","Editorial","Final","","Scopus","2-s2.0-85060596092"
"Enrione J.I.; Sáez C.; López D.; Skurtys O.; Acevedo C.; Osorio F.; MacNaughtan W.; Hill S.","Enrione, Javier I. (15829018400); Sáez, Carlos (39362380400); López, Daniel (56857187300); Skurtys, Olivier (23096076900); Acevedo, Cristian (7004963806); Osorio, Fernando (57190294503); MacNaughtan, William (6602748838); Hill, Sandra (35555297500)","15829018400; 39362380400; 56857187300; 23096076900; 7004963806; 57190294503; 6602748838; 35555297500","Structural Relaxation of Salmon Gelatin Films in the Glassy State","2012","Food and Bioprocess Technology","5","6","","2446","2453","19","10.1007/s11947-011-0618-3","https://www.scopus.com/pages/publications/84864414941?origin=resultslist","Article","Final","","Scopus","2-s2.0-84864414941"
"Hansen H.K.; Nuñez P.; Jil C.","Hansen, Henrik K. (7403333704); Nuñez, Patricio (22035372800); Jil, Cesar (23485188300)","7403333704; 22035372800; 23485188300","Removal of arsenic from wastewaters by airlift electrocoagulation. Part 1: Batch reactor experiments","2008","Separation Science and Technology","43","1","","212","224","31","10.1080/01496390701626859","https://www.scopus.com/pages/publications/38849187330?origin=resultslist","Article","Final","","Scopus","2-s2.0-38849187330"
"Reszka P.; Borowiec P.; Steinhaus T.; Torero J.L.","Reszka, P. (23098198000); Borowiec, P. (57225267362); Steinhaus, T. (17343076100); Torero, J.L. (7004558676)","23098198000; 57225267362; 17343076100; 7004558676","A methodology for the estimation of ignition delay times in forest fire modelling","2012","Combustion and Flame","159","12","","3652","3657","58","10.1016/j.combustflame.2012.08.004","https://www.scopus.com/pages/publications/84867904469?origin=resultslist","Article","Final","","Scopus","2-s2.0-84867904469"
"Mairet F.; Moisan M.; Bernard O.","Mairet, Francis (35792398100); Moisan, Marcelo (23570913800); Bernard, Olivier (8509748200)","35792398100; 23570913800; 8509748200","Interval observer with near optimal adaptation dynamics. Application to the estimation of lipid quota in microalgae","2014","International Journal of Robust and Nonlinear Control","24","6","","1142","1157","9","10.1002/rnc.2934","https://www.scopus.com/pages/publications/84896546123?origin=resultslist","Article","Final","","Scopus","2-s2.0-84896546123"
"Valderrama J.O.; Robles P.A.; De La Fuente J.C.","Valderrama, José O. (7005194999); Robles, Pedro A. (12774054800); De La Fuente, Juan C. (8648287000)","7005194999; 12774054800; 8648287000","Determining the sublimation pressure of capsaicin using high-pressure solubility data of capsaicin + CO2 mixtures","2006","Journal of Chemical and Engineering Data","51","5","","1783","1787","11","10.1021/je060188n","https://www.scopus.com/pages/publications/33749822755?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33749822755"
"Teixeira A.; Ghai G.; Almonacid S.","Teixeira, Arthur (55818108900); Ghai, Gaurav (57205558156); Almonacid, Sergio (6602451316)","55818108900; 57205558156; 6602451316","Advances and Challenges in Thermal Processing with Flexible Packages","2013","Food Engineering Series","","","","197","207","0","10.1007/978-1-4614-7906-2_11","https://www.scopus.com/pages/publications/85060512943?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85060512943"
"Rosales C.","Rosales, Carlos (36828677400)","36828677400","Synthetic three-dimensional turbulent passive scalar fields via the minimal Lagrangian map","2011","Physics of Fluids","23","7","075106","","","4","10.1063/1.3609280","https://www.scopus.com/pages/publications/79960909319?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-79960909319"
"De La Fuente J.C.; Valderrama J.O.; Bottini S.B.; Del Valle J.M.","De La Fuente, Juan C. (8648287000); Valderrama, José O. (7005194999); Bottini, Susana B. (7003933025); Del Valle, José M. (7005396861)","8648287000; 7005194999; 7003933025; 7005396861","Measurement and modeling of solubilities of capsaicin in high-pressure CO2                     ","2005","Journal of Supercritical Fluids","34","2 SPEC. ISS.","","195","201","35","10.1016/j.supflu.2004.11.014","https://www.scopus.com/pages/publications/15744399387?origin=resultslist","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-15744399387"
